字段1_文本,字段1_链接,字段2,字段3,"是否担忧（1=担忧，-1=完全不担忧，0=中性，有些担忧但不用买保险,2=疑似抑郁症）",标签1（担忧对象）,标签2（担忧什么）,标签3（什么保险）,标签4（症状）,是否有直接保险需求
京东官方唯一社交电商平台东小店马上正式上线了，名额有限，总部,https://tieba.baidu.com/p/6497264175,0,"
            2-17        ",-1,,,,,
适合六十岁老年人买的住院保险？,https://tieba.baidu.com/p/5116299987,12,"
            2-17        ",1,父母,健康,健康保险,担忧,是
你好，我是人寿售后理赔部门的经理我姓徐，买不买无所谓，我可以,https://tieba.baidu.com/p/6497013412,0,"
            2-17        ",-1,,,,,
谱蓝保可不可以帮忙协助理赔？,https://tieba.baidu.com/p/6168016183,17,"
            2-17        ",-1,,,,,
大家推荐一下 买什么保险比较合的来呢卖保险的哥哥姐姐们给个意,https://tieba.baidu.com/p/6425105186,10,"
            2-17        ",1,,,,,是
小孩买保险有年龄限制吗,https://tieba.baidu.com/p/6446438490,9,"
            2-17        ",1,儿女,健康,健康保险,担忧,是
我妹妹去年买保险被责任除外了，现在有啥百万医疗险可以买吗？看,https://tieba.baidu.com/p/6139659828,16,"
            2-17        ",1,妹妹,健康,健康保险,担忧,是
信泰保险的完美人生守护重大疾病保险怎么样？信泰保险这个保险公,https://tieba.baidu.com/p/6387341893,11,"
            2-17        ",1,,,,,是
想买份健康险，有没有买过的来聊一聊怎么买最合适呀？,https://tieba.baidu.com/p/6492501369,8,"
            2-17        ",1,自己,健康,健康保险,担忧,是
平安理财保险，非常合适，有需要请联系我13304921806,https://tieba.baidu.com/p/6480294187,9,"
            2-16        ",-1,,,,,
京东社交电商，一起努力，0投资在家搞副业！享受坚持带来的收益,https://tieba.baidu.com/p/6493646639,0,"
            2-15        ",-1,,,,,
免费赠送30万新型冠状病毒身故保障 还可兼职卖保险,https://tieba.baidu.com/p/6493052334,0,"
            2-15        ",-1,,,,,
解决保险问题，可以加群,https://tieba.baidu.com/p/6493018738,0,"
            2-15        ",-1,,,,,
想给自己买个保险，不知道该买什么样的，哪家公司的，谁能给我讲,https://tieba.baidu.com/p/6318150285,34,"
            2-15        ",1,自己,健康,健康保险,担忧,是
刚生了宝宝，想给宝宝买个保险，不知道买啥类的，有推荐的吗？,https://tieba.baidu.com/p/6003004963,77,"
            2-15        ",1,儿女,健康,健康保险,担忧,是
栗子学院快速通过的有没有,https://tieba.baidu.com/p/6492805714,0,"
            2-15        ",-1,,,,,
被保险人过去2年内没有过住院或被要求进一步检查、手术或住院治,https://tieba.baidu.com/p/6296154777,7,"
            2-15        ",-1,,,,,
为什么要买交通意外险呢？,https://tieba.baidu.com/p/6229589872,4,"
            2-14        ",-1,,,,,
再突破·再创新·再引领🔥🔥🔥爱心人寿爱加倍（挚爱版）终身重大,https://tieba.baidu.com/p/6448891717,1,"
            2-14        ",-1,,,,,
诚招手机兼职安全靠谱实在良心推荐，要求会网购，无论你是上班族,https://tieba.baidu.com/p/6491662042,0,"
            2-14        ",-1,,,,,
芯爱2号重疾险，究竟有什么特色与优势呢,https://tieba.baidu.com/p/6434712115,9,"
            2-14        ",-1,,,,,
🙏哆啦 0元投保冠状病毒🙏 疫情无情人有情！🅰 0元投保！保,https://tieba.baidu.com/p/6490884899,0,"
            2-14        ",-1,,,,,
為什麼很多人都說保險要越早買越好？ 为什么要早买？有什么好处,https://tieba.baidu.com/p/6488909766,0,"
            2-13        ",-1,,,,,
确诊人员：40235人（费用由国家承担）疑似病例：23589,https://tieba.baidu.com/p/6487336289,0,"
            2-12        ",-1,,,,,
【保险从业必看】明亚保险经纪上千堂MDRT课程免费领,https://tieba.baidu.com/p/6487059573,0,"
            2-12        ",-1,,,,,
