字段1_文本,字段1_链接,字段2,字段3,"是否担忧（1=担忧，-1=完全不担忧，0=中性，有些担忧但不用买保险,2=疑似抑郁症）",标签1（担忧对象）,标签2（担忧什么）,标签3（什么保险）,标签4（症状）,是否有直接保险需求（是=1，否=0）
现在做什么投资有保险？回报又不低，你知道吗？进来告诉你,https://tieba.baidu.com/p/6231851900,626,"
            14:42        ",-1,,,,,
回收工商 建设 平安 光大 交通 浦发 兴业 民生等等积分！,https://tieba.baidu.com/p/6498373249,0,"
            14:40        ",-1,,,,,
想买保险却不知道什么保险好 来这里,https://tieba.baidu.com/p/6496450183,29,"
            14:36        ",1,自己,健康,健康保险,担忧,是
需要保险拉人多找我，喔十几个群,https://tieba.baidu.com/p/6498013007,5,"
            14:31        ",-1,,,,,
想问各位吧友。我8w3，渝期了1个月，今天收到电话了，家人也收,https://tieba.baidu.com/p/6492602573,77,"
            14:29        ",-1,,,,,
交行信用卡，没办的来个办的,https://tieba.baidu.com/p/6498347364,1,"
            14:29        ",-1,,,,,
保险咨询&保单检视,https://tieba.baidu.com/p/6417232151,25,"
            14:27        ",-1,,,,,
医生在保险公司入职有工号有影响吗？,https://tieba.baidu.com/p/6496784886,2,"
            14:24        ",-1,,,,,
有医保，还需要买什么保险？,https://tieba.baidu.com/p/6498327920,0,"
            14:17        ",-1,,,,,
老哥们，我5.3w，在逾着期1月了，今天家里人收到电话了，之后我,https://tieba.baidu.com/p/6487332196,31,"
            00:23        ",-1,,,,,
手机网站+商家分账手机网站+单笔 App支付+商家分账 Ap,https://tieba.baidu.com/p/6497174028,2,"
            14:20        ",-1,,,,,
有大佬吗。求帮助,https://tieba.baidu.com/p/6496266593,21,"
            14:18        ",-1,,,,,
求助！妈妈昨天去世了，在她的保险柜了发现了这样一份保险，不太,https://tieba.baidu.com/p/6490812438,46,"
            14:15        ",-1,,,,,
今年23岁，听建议买了一份保险，平安福19，有没有懂的人帮忙,https://tieba.baidu.com/p/6492949011,71,"
            14:13        ",-1,,,,,
很多人在朋友圈或者各种亲朋好友的群里，看到可以免费领的保险，,https://tieba.baidu.com/p/6485472928,1,"
            14:13        ",-1,,,,,
讲几句真话，越来越难了，教大家买个保险就这么难？,https://tieba.baidu.com/p/6412421927,872,"
            14:13        ",-1,,,,,
给孩子买保险，你头疼了吗？,https://tieba.baidu.com/p/6474072691,217,"
            14:12        ",-1,,,,,
少儿平安福好不好？给孩子买保险不知道买什么好？,https://tieba.baidu.com/p/6467493463,9,"
            14:12        ",1,儿子,健康,健康保险,担忧,是
