用户名,博文,转发数,评论数,点赞数,发文时间,来自,页面网址,博文链接,"是否担忧（1=担忧，-1=完全不担忧，0=中性，有些担忧但不用买保险,2=疑似抑郁症）",标签1（担忧对象）,标签2（担忧什么）,标签3（什么保险）,标签4（症状）
赫赫s,"
                    阴天、雾霾、不舒服的与世隔绝还好有陪伴#萌宠的日常# L赫赫s的微博视频 ​                ",  , ,1,"
                        今天16:01
                        ",iPhone 11 Pro Max,https://s.weibo.com/weibo/%25E9%259B%25BE%25E9%259C%25BE%2520%25E4%25B8%258D%25E8%2588%2592%25E6%259C%258D?q=%E9%9B%BE%E9%9C%BE%20%E4%B8%8D%E8%88%92%E6%9C%8D&scope=ori&suball=1&Refer=g,https://weibo.com/1853228745/IwKGwBMPs?refer_flag=1001030103_,-1,,,,
黄碧shan,"
                    小青柑特别适合这6大人群喝👇 ①天天面对电子屏幕的②经常肠胃不适的③经常受雾霾影响的④爱抽烟的，嗓子不舒服的⑤应酬多 爱喝酒的⑥湿气 寒气比较重的！ 2普宁市 ​                ",  , , ,"
                        今天14:27
                        ",荣耀8 美得与众不同,https://s.weibo.com/weibo/%25E9%259B%25BE%25E9%259C%25BE%2520%25E4%25B8%258D%25E8%2588%2592%25E6%259C%258D?q=%E9%9B%BE%E9%9C%BE%20%E4%B8%8D%E8%88%92%E6%9C%8D&scope=ori&suball=1&Refer=g,https://weibo.com/3281470423/IwK4Bo1ll?refer_flag=1001030103_,-1,,,,
多鸽小朋友,"
                    #王一博# 同款🇩🇪德国进口zirkulin哲库林无糖润喉糖30粒，38元！清凉版合加强版可选，12岁以上🉑️之前我讲过咳嗽可以吃蜂蜜止咳，所以这个润喉糖也是一样的原理，用的是蜂胶，来缓解喉咙的不适感，不含糖，适合咳嗽期间、需要经常用嗓子，或者因为雾霾、抽烟导致喉咙不舒服的胖友！ ​                ",  ,1,4,"
                        02月29日 17:45
                        ",,https://s.weibo.com/weibo/%25E9%259B%25BE%25E9%259C%25BE%2520%25E4%25B8%258D%25E8%2588%2592%25E6%259C%258D?q=%E9%9B%BE%E9%9C%BE%20%E4%B8%8D%E8%88%92%E6%9C%8D&scope=ori&suball=1&Refer=g,https://weibo.com/2548127017/IwsvKnHtU?refer_flag=1001030103_,-1,,,,
低调张扬的千里千寻,"
                    经过最近的长假和轮班，我得出一个结论，公司的空气质量真的是很差，甚至不亚于外面的雾霾。之前每天上一天班，早上还行，基本到下午就喉咙非常不舒服，而且我一直是痰很多的表现，最近单位待得少并且不开中央空调还带口罩，痰基本没有了，嗓子也比以前一直上班的时候改善很多。 ​                ",  , , ,"
                        02月28日 15:50
                        ",HUAWEI Mate 20 Pro,https://s.weibo.com/weibo/%25E9%259B%25BE%25E9%259C%25BE%2520%25E4%25B8%258D%25E8%2588%2592%25E6%259C%258D?q=%E9%9B%BE%E9%9C%BE%20%E4%B8%8D%E8%88%92%E6%9C%8D&scope=ori&suball=1&Refer=g,https://weibo.com/2481277042/IwikU7WU8?refer_flag=1001030103_,-1,,,,
柚你个奎葵,"
                    #不严重但很困扰人的小疾病# 慢性咽炎咽喉特别敏感，，平时还好，一旦患了普通感冒，嗓子几乎是废了，嗓子疼，痒，发炎，吃不了东西，说话就恶心。最关键的是一个普通感冒能被咽炎折磨成重感冒。我曾三次因为咽炎引发的重感冒住院，属于吃药，吃饭说话都恶心的病。空气质量稍微下降，或者出现雾霾，灰尘等，咽喉就开始不舒服，特别难受，只要稍微不注意就会引发一场感冒发烧。荨麻疹不管是抓痕性还是其他都很麻烦，稍微不注意手上全是痕，有一个荨麻疹是夜里会特别痒，睡不着，中午会缓解，饮食还有忌口，总之就是很麻烦也很折磨。 O不严重但影响生活的病有哪些? 收起全文d
                ",  ,2, ,"
                        02月28日 14:56
                        ",,https://s.weibo.com/weibo/%25E9%259B%25BE%25E9%259C%25BE%2520%25E4%25B8%258D%25E8%2588%2592%25E6%259C%258D?q=%E9%9B%BE%E9%9C%BE%20%E4%B8%8D%E8%88%92%E6%9C%8D&scope=ori&suball=1&Refer=g,https://weibo.com/6888939832/IwhYEsVEV?refer_flag=1001030103_,1,自己,健康,健康保险,担忧
萌面人zo,"
                    雾霾的天气让人觉得不舒服，所以保护环境从我做起 ​                ",  , , ,"
                        02月28日 07:39
                        ",iPhone 11,https://s.weibo.com/weibo/%25E9%259B%25BE%25E9%259C%25BE%2520%25E4%25B8%258D%25E8%2588%2592%25E6%259C%258D?q=%E9%9B%BE%E9%9C%BE%20%E4%B8%8D%E8%88%92%E6%9C%8D&scope=ori&suball=1&Refer=g,https://weibo.com/2131405553/Iwf7inJOl?refer_flag=1001030103_,-1,,,,
甜甜是我呀囍,"
                    有一件很遗憾的事。年初的时候，鼻炎犯了每天都不舒服，我觉得雾霾太大了，去卖口罩肯定是个商机。想着就放弃了，因为我找不到进货渠道，如果从药店买再拿来卖肯定很贵，别人也不会来买。谁知道后来的口罩那么紧缺，我不卖拿来自己带也可以啊。唉，错过错过。 ​                ",  , ,3,"
                        02月27日 22:47
                        ",OPPO R9s,https://s.weibo.com/weibo/%25E9%259B%25BE%25E9%259C%25BE%2520%25E4%25B8%258D%25E8%2588%2592%25E6%259C%258D?q=%E9%9B%BE%E9%9C%BE%20%E4%B8%8D%E8%88%92%E6%9C%8D&scope=ori&suball=1&Refer=g,https://weibo.com/3748892875/IwbDkax1I?refer_flag=1001030103_,-1,,,,
西北旺镇社区卫生服务中心,"
                    室外作业雾霾天气持续发生会让不少人在室外感到不舒服，但一般来说我们在室外的时间较少，多数时间呆在室内。但对于需要长时间在室外工作的作业人员例如建筑工人、环卫工人、交警等，他们暴露在雾霾的时间更长，接触量更大。因此，强调和关注室外作业人员对雾霾天气的防护十分有必要。 ​                ",  , , ,"
                        02月27日 08:42
                        ",360安全浏览器,https://s.weibo.com/weibo/%25E9%259B%25BE%25E9%259C%25BE%2520%25E4%25B8%258D%25E8%2588%2592%25E6%259C%258D?q=%E9%9B%BE%E9%9C%BE%20%E4%B8%8D%E8%88%92%E6%9C%8D&scope=ori&suball=1&Refer=g,https://weibo.com/2647187051/Iw66BkPWg?refer_flag=1001030103_,-1,,,,
小草莓和兔子,"
                    开心起来，雾霾终会散去的，最恶毒的诅咒送给那些小人。你TM勇敢一点，该骂就骂，让你不舒服的人你还顾虑什么…… ​                ",  , , ,"
                        02月24日 12:22
                        ",iPhone客户端,https://s.weibo.com/weibo/%25E9%259B%25BE%25E9%259C%25BE%2520%25E4%25B8%258D%25E8%2588%2592%25E6%259C%258D?q=%E9%9B%BE%E9%9C%BE%20%E4%B8%8D%E8%88%92%E6%9C%8D&scope=ori&suball=1&Refer=g,https://weibo.com/5907962561/IvFgwc1TC?refer_flag=1001030103_,-1,,,,
大阪小僧,"
                    💰40不包邮   4包包邮。🙌🏻现货#龙角散喉咙不舒服一定要试试！秋季干燥和雾霾对呼吸道影响较大造成咽炎，龙角散具有清肺、缓解痰多，咽喉肿痛、咽喉炎症的效果！直接把药物含在嘴里面来服用不要用水喔。 ​                ",  , , ,"
                        02月22日 10:16
                        ",iPhone 11 Pro,https://s.weibo.com/weibo/%25E9%259B%25BE%25E9%259C%25BE%2520%25E4%25B8%258D%25E8%2588%2592%25E6%259C%258D?q=%E9%9B%BE%E9%9C%BE%20%E4%B8%8D%E8%88%92%E6%9C%8D&scope=ori&suball=1&Refer=g,https://weibo.com/5551767360/IvlAeoQMd?refer_flag=1001030103_,-1,,,,
