用户名,博文,转发数,评论数,点赞数,发文时间,来自,页面网址,博文链接,"是否担忧（1=担忧，-1=完全不担忧，0=中性，有些担忧但不用买保险,2=疑似抑郁症）",标签1（担忧对象）,标签2（担忧什么）,标签3（什么保险）,标签4（症状）
FM88山西交通广播,"
                    【9岁女儿给战“疫”一线的爸爸做可以吃的“口罩”】#新冠肺炎防控# #抗击新型肺炎进行时# 3月1日，正在武汉新洲战“疫”一线的干部陈州在视频中看到了黄冈老家女儿做的“爱心口罩”。  陈州抽空会和父母女儿视频，互报平安，父亲担心儿子口罩够不用，嘱咐他一定要注意防护。一旁的女儿听了，记在了心里。１日，爷爷奶奶包饺子，喜欢做手工的女儿用面皮夹肉馅做了一个""肉馅口罩""，作为礼物送给爸爸。L长江日报的微博视频 收起全文d
                ",  , , ,"
                        17分钟前
                        ",微博 weibo.com,https://s.weibo.com/weibo/%25E6%258B%2585%25E5%25BF%2583%25E7%2588%25B6%25E6%25AF%258D?q=%E6%8B%85%E5%BF%83%E7%88%B6%E6%AF%8D&scope=ori&suball=1&Refer=g,https://weibo.com/1906881261/IwMJUcyX4?refer_flag=1001030103_,-1,,,,
Gary_偉豪,"
                    是让他们可以衣食无忧#今日美貌限定#，可以尽情享受生活的美好#好看的小姐姐都在这里#，而不是在?晚年还替我们的生活工作担心#网红#，还要把自己的养老钱拿出来给你#网拍#。所以我们成功的速度一定要超过父母老去的速度。爱，需要相互体谅永恒的爱，需要我们用真心经营。爱情路上，可叹，我还在爱情路上摸索!小时候我们渴望长大，像大人一样可以决定自己的生活，可是后来当我们真的长大了，我们却发现长大的世界和我们想的不一样，上海约拍?成都约拍?南昌约拍?武汉约拍?重庆约拍??温州约拍?杭州约拍?深圳约拍??广州?约拍?三亚约拍?，而且随着我们长大的同时#这才是老司机#，随之?而来的是约拍对现实的无奈。我们开始意识到今天穿什么，我们长大了父母也老了#纹身#，我们开始恐慌害怕#古风#，怕他们看不到我们变优秀的那一天#宝宝的少女心#，怕自己无法为他们创造一下安心的晚年#北京约拍#，?怕他们老了之后还在为我们担忧#熬夜#。如果我们现在不去努力，等以后都没有能力去带父母各地旅游散心#晚安#，品尝各地美食#有点性感怎么回事#。我们努力的意义哥哥请大力一点 收起全文d
                ",  , , ,"
                        36分钟前
                        ",微博 weibo.com,https://s.weibo.com/weibo/%25E6%258B%2585%25E5%25BF%2583%25E7%2588%25B6%25E6%25AF%258D?q=%E6%8B%85%E5%BF%83%E7%88%B6%E6%AF%8D&scope=ori&suball=1&Refer=g,https://weibo.com/1750477271/IwMCdhqq6?refer_flag=1001030103_,-1,,,,
会哭的老鼠小盆友21,"
                    伦敦又新增好几例。英国佬似乎不慌，也不要求戴口罩。中国学生买，己经药房卖光了。如果英国号召全民买，那更加不够，更加恐怖。你也别指望慢腾腾的英国政府采取什么措施。连敦刻尔克撤退他们都排着队慢慢撤，还惦记能有饼干吃，热红茶喝。家长群里父母们各种担心。组团想寄口罩。唉。 ​                ",  , , ,"
                        51分钟前
                        ",HUAWEI P20 Pro,https://s.weibo.com/weibo/%25E6%258B%2585%25E5%25BF%2583%25E7%2588%25B6%25E6%25AF%258D?q=%E6%8B%85%E5%BF%83%E7%88%B6%E6%AF%8D&scope=ori&suball=1&Refer=g,https://weibo.com/6048634952/IwMvTafGq?refer_flag=1001030103_,0,,,,
霆歩青雲,"
                    每一个孩子都是上天送给父母最珍贵的礼物，对于父母来说，能看到孩子健康快乐的成长，就是自己最大的心愿，特别对于女儿，父母总会和孩子各种操心，担心孩子会受到坏人的欺负和侮辱，担心孩子不懂事而早恋、做出出格韩国“侵犯”女童案，孩子靠人工肛门和尿袋生活，凶犯今年将出狱 O网页链接 收起全文d
                ",  , , ,"
                        54分钟前
                        ",iPhone客户端,https://s.weibo.com/weibo/%25E6%258B%2585%25E5%25BF%2583%25E7%2588%25B6%25E6%25AF%258D?q=%E6%8B%85%E5%BF%83%E7%88%B6%E6%AF%8D&scope=ori&suball=1&Refer=g,https://weibo.com/1807846413/IwMuxybVU?refer_flag=1001030103_,-1,,,,
醉美郧阳,"
                    #女儿用玩具喇叭呼喊爸爸回来# 为人父母者，都能从孩子话语中听出不舍  担心和委屈。孩子还小，能表达的内容可能很简单，但即使小她也早从大人们的谈话中，从电视里，知道了爸爸工作的辛苦和危险，也才会有那么长的一定注意安全。好家长好孩子 2十堰 ​                ",  , ,4,"
                        今天20:28
                        ",郧阳君专用Android,https://s.weibo.com/weibo/%25E6%258B%2585%25E5%25BF%2583%25E7%2588%25B6%25E6%25AF%258D?q=%E6%8B%85%E5%BF%83%E7%88%B6%E6%AF%8D&scope=ori&suball=1&Refer=g,https://weibo.com/1976280635/IwMqU7CZ0?refer_flag=1001030103_,-1,,,,
伱是雾我是酒馆儿,"
                    #那些最孤独的瞬间#连续两天发烧到39℃，不敢告诉父母怕他们担心，但两天里手机一直没有响过，烧的迷糊的时候，自己还恨恨的想，要是自己真烧死了，也不知道得过多久才能被人发现。过了一会又觉得，不可能，以我的性格，撑着最后一丝清醒也能叫个120啊！今天觉得退烧了，就去单位上班，怕同事们有忌讳，一次也没敢出屋，后来领导发微信说你回去休息吧，但是不敢坐同事的车，找了好久才有个经常拉我的出租车同意送我一趟。同事又打电话来说上级要求要去医院开诊断证明，证明不是新冠肺炎。自己跑到发热门诊登记做检查。大夫反复问家里都有谁？必须让家属陪同，我说没有，我自己一人居住，他说父母或者亲人也行，我说都没有在这，我自己能走，而且我确定我只是感冒不会传染。他说你是才到这边上班吗？怎么连个照顾的人都没有？我说不是，我已经过来八年了。八年了，我在这还是没有一个家，还是没有可以称之为亲人的，这样的孤独不只一次，我想也不会止于这一次，人生路漫长，还有数不尽的荒凉，怎能现在就绝望！ 2承德 收起全文d
                ",  ,4, ,"
                        今天20:27
                        ",坚果手机 Pro 2S,https://s.weibo.com/weibo/%25E6%258B%2585%25E5%25BF%2583%25E7%2588%25B6%25E6%25AF%258D?q=%E6%8B%85%E5%BF%83%E7%88%B6%E6%AF%8D&scope=ori&suball=1&Refer=g,https://weibo.com/5605042567/IwMqPBXf6?refer_flag=1001030103_,1,自己,健康,健康保险,身体问题
dminjie-M,"
                    🥢今日食 // 糖醋脆皮豆腐😋一个人在家，会接到妈妈超级多个电话，担心我睡过头 没吃饭 晚上太迟睡不管多大了在父母眼里也一直都是小朋友呀 ​                ",  , , ,"
                        今天20:24
                        ",iPhone XR,https://s.weibo.com/weibo/%25E6%258B%2585%25E5%25BF%2583%25E7%2588%25B6%25E6%25AF%258D?q=%E6%8B%85%E5%BF%83%E7%88%B6%E6%AF%8D&scope=ori&suball=1&Refer=g,https://weibo.com/6277551122/IwMpAvRAo?refer_flag=1001030103_,-1,,,,
北京市教委,"
                    #全面抗疫# 北京世纪坛医院的护士刘英写给父母的一封信感动众人：“我知道妈妈在为我担心，但我被这世界爱着，又怎能不去爱这个世界？”武汉加油！白衣天使们加油！ L第10期：宣璐含泪读护士家书，讲述白衣天使抗疫生活    ​                ",  , ,3,"
                        今天20:20
                        ",政务直通车,https://s.weibo.com/weibo/%25E6%258B%2585%25E5%25BF%2583%25E7%2588%25B6%25E6%25AF%258D?q=%E6%8B%85%E5%BF%83%E7%88%B6%E6%AF%8D&scope=ori&suball=1&Refer=g,https://weibo.com/2418801567/IwMnGkdGE?refer_flag=1001030103_,-1,,,,
某妮咔就是我,"
                    微博成了我发泄的平台，不用担心父母家人看到。希望走过路过的不要受我的负能量影响。 ​                ",  , , ,"
                        今天20:06
                        ",荣耀20,https://s.weibo.com/weibo/%25E6%258B%2585%25E5%25BF%2583%25E7%2588%25B6%25E6%25AF%258D?q=%E6%8B%85%E5%BF%83%E7%88%B6%E6%AF%8D&scope=ori&suball=1&Refer=g,https://weibo.com/2978472471/IwMib4xee?refer_flag=1001030103_,-1,,,,
楚天交通广播,"
                    【9岁女儿给战“疫”一线的爸爸做可以吃的“口罩”】#新冠肺炎防控# #抗击新型肺炎进行时# 3月1日，正在武汉新洲战“疫”一线的干部陈州在视频中看到了黄冈老家女儿做的“爱心口罩”。  陈州抽空会和父母女儿视频，互报平安，父亲担心儿子口罩够不用，嘱咐他一定要注意防护。一旁的女儿听了，记在了心里。１日，爷爷奶奶包饺子，喜欢做手工的女儿用面皮夹肉馅做了一个""肉馅口罩""，作为礼物送给爸爸。L长江日报的微博视频 收起全文d
                ",  ,2,1,"
                        今天19:59
                        ",微博 weibo.com,https://s.weibo.com/weibo/%25E6%258B%2585%25E5%25BF%2583%25E7%2588%25B6%25E6%25AF%258D?q=%E6%8B%85%E5%BF%83%E7%88%B6%E6%AF%8D&scope=ori&suball=1&Refer=g,https://weibo.com/2000016880/IwMf8xssb?refer_flag=1001030103_,-1,,,,
