用户名,博文,预测是否担忧（1=担忧，0=不担忧）,是否担忧（1=担忧，0=不担忧）,转发数,评论数,点赞数,发文时间,来自,页面网址,博文链接
玥玥的碎花小裙儿,今晚就要跨年了咋办呢？先迈左脚还是右脚啊？跨不过去会不会摔一跤？腿太长会不会跨到2021年啊好担心哦。​,0,0,  , , ,"
                        2019年12月31日 23:52
                        ",realme Q 四摄迅猛龙,https://s.weibo.com/weibo/%25E6%258B%2585%25E5%25BF%2583%2520%25E5%2592%258B%25E5%258A%259E?q=%E6%8B%85%E5%BF%83%20%E5%92%8B%E5%8A%9E&scope=ori&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g,https://weibo.com/6275719793/Innh3oI0n?refer_flag=1001030103_
海里星星16687,今晚就要跨年了咋办呢？先迈左脚还是右脚啊？跨不过去会不会摔一跤？腿太长会不会跨到2021啊好担心哦​,0,0,  , , ,"
                        2019年12月31日 23:35
                        ",OPPO超视野全面屏R15,https://s.weibo.com/weibo/%25E6%258B%2585%25E5%25BF%2583%2520%25E5%2592%258B%25E5%258A%259E?q=%E6%8B%85%E5%BF%83%20%E5%92%8B%E5%8A%9E&scope=ori&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g,https://weibo.com/6607786597/InnadlLNd?refer_flag=1001030103_
先改一下昵称,今晚就要跨年了咋办呢？先迈左脚还是右脚啊？跨不过去会不会摔一跤？腿太长会不会跨到2021年啊好担心哦。​,0,0,  ,3,4,"
                        2019年12月31日 23:24
                        ",iPhone客户端,https://s.weibo.com/weibo/%25E6%258B%2585%25E5%25BF%2583%2520%25E5%2592%258B%25E5%258A%259E?q=%E6%8B%85%E5%BF%83%20%E5%92%8B%E5%8A%9E&scope=ori&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g,https://weibo.com/5396454910/Inn5Egt0z?refer_flag=1001030103_
是一枚饺子呢_,问：如何让猫黏上你？答：穿一条毛茸茸的裤子。————但是我现在有点担心你现在睡这么多晚上我睡的时候可咋办？？？​,0,0,  , , ,"
                        2019年12月31日 23:20
                        ",编制外朱一龙的小笼包,https://s.weibo.com/weibo/%25E6%258B%2585%25E5%25BF%2583%2520%25E5%2592%258B%25E5%258A%259E?q=%E6%8B%85%E5%BF%83%20%E5%92%8B%E5%8A%9E&scope=ori&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g,https://weibo.com/1698675021/Inn3V1lRp?refer_flag=1001030103_
想把春天揉进汤圆煮给你吃,今晚就要跨年了咋办呢？先迈左脚还是右脚啊？跨不过去会不会摔一跤？腿太长会不会跨到2021年啊好担心哦​,0,0,  ,3, ,"
                        2019年12月31日 23:19
                        ",Android,https://s.weibo.com/weibo/%25E6%258B%2585%25E5%25BF%2583%2520%25E5%2592%258B%25E5%258A%259E?q=%E6%8B%85%E5%BF%83%20%E5%92%8B%E5%8A%9E&scope=ori&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g,https://weibo.com/6200517410/Inn3Pns1L?refer_flag=1001030103_
程宇豪哎,今晚就要跨年了咋办呢？先迈左脚还是右脚啊？跨不过去会不会摔一跤？腿太长会不会跨到2021年啊好担心哦。​,0,0,  , ,2,"
                        2019年12月31日 22:58
                        ",vivo智能手机,https://s.weibo.com/weibo/%25E6%258B%2585%25E5%25BF%2583%2520%25E5%2592%258B%25E5%258A%259E?q=%E6%8B%85%E5%BF%83%20%E5%92%8B%E5%8A%9E&scope=ori&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g,https://weibo.com/7304717828/InmVmB2GR?refer_flag=1001030103_
凉翕Elizabeth,老师：加课我：去补习前的我：7点半跨年杨幂出来你录一下我妹：补习中我：害杨幂出来了咋办我朋友：你担心啥你家不是都会放视频吗我：！！！我回来了：怎样出来了吗我妹：我刚刚好像有看到她你看我奇了怪了认不出吗接我妹手机一看就是我幂！！于是拿自己手机来哭我妹：？？？（好是我对不起她她为了我舍弃吃到一半的晚饭然后录给我结果我不看她的‥然后为什么认不出因为我幂太A了！！！收起全文d,0,0,  , , ,"
                        2019年12月31日 22:41
                        ",华为手机,https://s.weibo.com/weibo/%25E6%258B%2585%25E5%25BF%2583%2520%25E5%2592%258B%25E5%258A%259E?q=%E6%8B%85%E5%BF%83%20%E5%92%8B%E5%8A%9E&scope=ori&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g,https://weibo.com/5557057412/InmO7rT4D?refer_flag=1001030103_
给你摘颗星星呐,今晚就要跨年了咋办呢？先迈左脚还是右脚啊？跨不过去会不会摔一跤？腿太长会不会跨到2021年啊好担心哦。​,0,0,  , , ,"
                        2019年12月31日 22:02
                        ",Android,https://s.weibo.com/weibo/%25E6%258B%2585%25E5%25BF%2583%2520%25E5%2592%258B%25E5%258A%259E?q=%E6%8B%85%E5%BF%83%20%E5%92%8B%E5%8A%9E&scope=ori&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g,https://weibo.com/3146385925/InmywjLfX?refer_flag=1001030103_
李梦演Fighting,马上就要跨年了🙃咋办呢？先迈左脚还是右脚呀？跨不过去会不会摔一跤呀？腿太长会不会跨到2021呀？好担心啊~马上就要2020年了希望2019年所有的“崩溃”都是2020年惊喜的铺垫愿你的2020年阳光是暖的风是甜的一切美好都如期而至喜欢的都拥有过去的都释怀❤️总之~2020要刀枪不入，要逍遥快活~2珠海收起全文d,0,0,  , ,3,"
                        2019年12月31日 21:52
                        ",HUAWEI P20,https://s.weibo.com/weibo/%25E6%258B%2585%25E5%25BF%2583%2520%25E5%2592%258B%25E5%258A%259E?q=%E6%8B%85%E5%BF%83%20%E5%92%8B%E5%8A%9E&scope=ori&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g,https://weibo.com/5652069938/InmuseUyU?refer_flag=1001030103_
程伟HCC,今晚就要跨年了咋办呢？先迈左脚还是右脚啊？跨不过去会不会摔一跤？腿太长会不会跨到2021年啊好担心哦。​,0,0,  ,4,2,"
                        2019年12月31日 21:40
                        ",OPPO Reno 10倍变焦版,https://s.weibo.com/weibo/%25E6%258B%2585%25E5%25BF%2583%2520%25E5%2592%258B%25E5%258A%259E?q=%E6%8B%85%E5%BF%83%20%E5%92%8B%E5%8A%9E&scope=ori&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g,https://weibo.com/5324414160/InmpAygn0?refer_flag=1001030103_
