博文,发文时间,关键词,是否担忧（1=担忧，0=不担忧）,标签1（担忧对象）,标签2（担忧什么）,标签3（什么保险）,标签4
我怀疑我养猫就像吕子乔有了孩子那样天天怕猫生病怕照顾不好她整个假期除了给自己买了一件衬衫外全是些空气消毒器 卫可 杀菌喷雾 各种乱七八糟增强抵抗力的东西 以及不知道会不会得病的各种药 洗剂长胖发腮不指望以后长成撒子p样儿也不指望沙发抓烂也可以你把aj给我咬穿都可以手机屏幕你喜欢拿来磨牙你就磨不过要酒精杀个菌先我唯一愿望竟然是你活久一点再久一点再久一点这猫才到手两个月我这脑壳里面想的也太多了吧所以我以后坚决不养娃儿领养都不 收起全文d,今天02:10,会不会得病,1,猫,健康,宠物保险,
天天失眠 我会不会得病 ​,今天01:38,会不会得病,1,自己,健康,健康保险,
继之前每天担心得病的恐慌之后。现在每天陷入了 接下来会不会饿死的恐慌。可能需要一点勇气冲出去一趟超市吗？？？那我可能会买个好几千的东西回家！！！突然觉得仓鼠屯吃的真是明智！ 2武汉·荟聚购物中心 ​,今天01:25,会不会得病,0,,,,
抑郁症我没有得病，能在这里说话吗（不好意思不知道会不会冒犯到） 2济南 ​,今天01:18,会不会得病,0,,,,
从前每次拉肚子的感觉仅仅是感觉被掏空，会不会减肥。现在已经是我不会得病了叭，会不会减肥 ​,02月12日 23:09,会不会得病,0,,,,
啊啊啊我会不会已经得病了 开始有丢丢咳嗽了 ​,02月12日 21:12,会不会得病,1,自己,健康,健康保险,
我刚刚下楼拿快递，貌似护目镜到了，看着电梯里放着贴心纸巾给你按楼层用的，我不用，很得瑟的看着自己带一次性手套，觉得自己了不起的聪明，大摇大摆出了电梯到了楼外，就在此时我突然发觉我忘了带口罩啊啊啊啊啊到了家问我会不会得病啊，某人回：肺炎到不会，但是脑子必须看看去 ​,02月12日 20:40,会不会得病,0,,,,
天天被猫咬出血没去打过针会不会得病？（猫的狂犬疫苗也没打） 2长沙·长沙县 ​,02月12日 15:08,会不会得病,1,自己,健康,健康保险,
🎉🎉大杨树的热力公司:我们百姓不希望你们能为国家做什么，人民更没让你们冲到疫情前线。在这危难时期只希望你们能够保证群众的温暖就那么难吗？你们供热温度再回升不了，有多少家里的孩子和年迈的老人因此得病和感冒！又因此她们会不会出门去买药，到医院的情况何尝又不会出现。在这疫情时期你们想没想到危险的后果？在这一亩三分地供热问题就那么难吗？请你们不要给国家和百姓雪上加霜了！！！       大杨树百姓呼吁～我们的政府为人父母官何时又能解决问题！！ 收起全文d,02月12日 11:29,会不会得病,0,,,,
连续快一周，睡不好，总是这个点醒来，发现胸口闷的难受，这样下去不知道会不会得病三年了，每次的分手，我都难受得要💩，每次的和好，又会觉得自己超幸福。提分手的是你，要和好的是你，答应结婚的是你，说娶不了了，还是你爱情真难啊 记下这一天吧，以后别再重蹈覆辙了🙃不然又得💩一回 收起全文d,02月12日 04:59,会不会得病,0,,,,
今天中午才开玩笑说，我会不会得病，如果得病就死掉算了。晚上就看到同村疑似病例，还接触过她家人。还是不要得吧，虽然人生很苦，但是我还有妈妈，不能让她更苦 ​,02月12日 00:12,会不会得病,0,,,,
看了钟南山院士接受路透社采访的视频后，感慨啊，不知道网上那群“拧着脖子红着脸非说李文亮医生不能称为英雄，还有啥啥没按流程来之类的p话”的人，这会儿心里咋想？祝愿你们一生都不要得病吧，否则不知道你们就医的时候，会不会受到良心的谴责。哦…抱歉，我不知道你们有没有良心，多虑了多虑了 ​,02月11日 23:07,会不会得病,0,,,,
出门会不会得病我不知道可是我知道我要是再不出门，我就快得抑郁症了 ​,02月11日 22:08,会不会得病,0,,,,
#总怀疑自己得病怎么办#所以最近发烧能不能去医院？去医院会不会感染？ ​,02月11日 18:42,会不会得病,1,自己,健康,健康保险,
#全国新冠肺炎累计死亡破千#太可怕了 希望快点度过难关吧 真的是门都不出 依然每天担心自己会不会得病 过一会就去量一下体温 可能是心理作用 但真的是害怕😱 2大同 ​,02月11日 16:22,会不会得病,1,自己,健康,健康保险,
头疼，想睡觉，但是又得工作。。。第一次这么害怕自己会不会得病。。。 ​,02月11日 15:15,会不会得病,1,自己,健康,健康保险,
“会不会灭亡”“不会”“可是都有几千人死了”“不会的，只要把得病的人拉进医院，就不会传染了有逃离的，有隐瞒的，有乱跑的，有绝望的，有报复的。宏观知道怎么做，落到每个人头上，都是一场灾难，都是荒诞的绝望的。梦初醒时，想好了一切，太阳升起时，忘记了一切，甚至还暗暗嘲讽。 ​,02月11日 14:13,会不会得病,0,,,,
#总怀疑自己得病怎么办#昨晚梦见自己一个人上街没带口罩，回家之后哭着和妈妈说会不会得新型肺炎 ​,02月11日 10:38,会不会得病,1,自己,健康,健康保险,
【有用！复工了，转存这份#就餐防疫指南#】买回来的果蔬肉类食材会有病毒吗？如何处理食材才能安心食用？去食堂吃饭安不安全？叫外卖会不会感染？......戳图↓↓#复工就餐守则#，转走牢记！ ​#总怀疑自己得病怎么办# ​​​,02月11日 09:10,会不会得病,0,,,,
【有用！复工了，转存这份#就餐防疫指南#】买回来的果蔬肉类食材会有病毒吗？如何处理食材才能安心食用？去食堂吃饭安不安全？叫外卖会不会感染？......戳图↓↓#复工就餐守则#，转走牢记！ ​#总怀疑自己得病怎么办# ​,02月11日 08:53,会不会得病,0,,,,
#WHO 新冠病毒不怕炎热湿润天气#会不会怕结核杆菌？我总觉得自己得病了，只是因为得过肺结核，新冠病毒干不过结核杆菌，所以我一直没事 ​,02月11日 08:44,会不会得病,0,,,,
疫情再不过去，我会不会得病我不知道，我感觉我的对象快要黄了。 ​,02月11日 05:15,会不会得病,0,,,,
