用户名,博文,关键词,是否担忧（1=担忧，0=不担忧）,标签1（担忧对象）,标签2（担忧什么）,标签3（什么保险）,标签4（症状）,转发数,评论数,点赞数,发文时间,来自,页面网址,博文链接
限量泡芙馆,给好多人说了新年快乐说了新年祝福还没有给自己说过。新年快乐希望在2020年你可以学有所成重要的不是崭新的年份而是你可以改变的决心你下定决心去做的努力这才是最重要的。希望在2020年要身体健康平平安安不要因为总是觉得自己不会得病而总是熬夜总是吃垃圾食品点外卖总是不顾及身体会不会受影响因为你已经不是小孩子了你也在一天天的变老不要再像之前一样了。希望在2020年自己会学会独立不要总是依赖于别人很多事情需要你自己去做不要害怕胆子大一些要学着自己一个人。希望在2020年可以开开心心不要总是想一些乱七八糟的事情不要让别人控制你的情绪如果把自己的喜怒哀乐全都牵扯在一个人身上那可真是太糟糕了一定要避免这种状况。不要随波逐流好好做自己该做什么就做什么不要想别人在做什么做好你自己该做的事过好你自己的生活和别人保持好距离做事千万不要越界谨记这一点毕竟别人的生活和你没有关系。希望自己越来越好吧把所有不好的斩断在现在希望我爱的人我的家人都可以身体健康平安开心。加油一定要好好努力！2020年要学有所成要瘦要独立要好运爆棚——十年代的最后一天收起全文d,会不会得病,0,,,,,  , , ,"
                        2019年12月31日 23:59
                        ",前置双摄vivo X9,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&typeall=1&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g,https://weibo.com/7110290864/InnjW9O0v?refer_flag=1001030103_
我会有未来吗,2019开始倒数了哦原来小时候觉得很遥远的2020年就是明天了要说2019年我收获了什么呢？仔细想想哈哈还真是收获的挺少的2018年9月我来到这个陌生的地方开始了大学生活不知不觉就到了2019的末尾这两年多我还是没有适应这里的环境还是特别敏感还是喜欢把坏情绪发泄到别人身上还是不敢向这里的所谓朋友袒露自己的心声还是会忽略一些重要的友情还是不能独立还是特别抑郁还是会突然暴躁……细数我的种种不仅没有丝毫改变还变本加厉哈哈我也不知道是从什么时候开始的会突然想摔东西想打人想哭会想一些以前让我伤心的事会觉得这个世界没有一个人是喜欢我是对我好的总想着让那些我讨厌的人都去死想着自己出一场事故或者得了不能治的绝症快点死掉甚至想过各种方式的自杀有的时候晚上会睡不着可是又很困想睡觉然后就会很暴躁。在我意识到我的这些问题时我正在上高中这些问题一直伴随着我高考然后放假然后大一大二。说长不长说短不短的几年我将它们隐藏的很好，没有人跟我说过你能不能不要装了，我知道你一点都不快乐。家人觉得我任性爱闹有时候又很闷，亲戚邻居觉得我内敛不爱说话但有礼貌，老师同学朋友觉得我爱笑爱闹很好相处是个开心果，就连陌生人都觉得我有礼貌善于交际。只有和我相处好多年的好朋友让我不要总是光想着别人而忽略自己。我没有勇气没有胆量向他们倾诉我的问题就连我最好的朋友我也不敢向她们袒露一点，因为我害怕我倾诉之后不到没有得到我预期中的安慰和鼓励，反而害怕他们会不会觉得我很装因为他们一直觉得我很积极乐观，他们会不会因为我的问题觉得我很奇葩我脑子有问题而远离我？他们会不会告诉其他人然后让他们孤立我？光想一下这些我就害怕的不行，所以我就拼命的让自己开心，别人伤心难过我就努力安慰她们，有时候还会干一些吃力不讨好的事情也没有怎么埋怨只会闷在心里。我还会突然没有原因的暴躁，感觉全世界都在和我做对，没有地方发泄然后又消化掉。我真的很羡慕那些可以把自己的问题说出去的人，我始终不敢。我只敢把我的问题写成字然后在文字中拼命呐喊：看看我吧，我一点都不快乐，每一天都不快乐！看看我吧，我好像得病了，我好像坏掉了。看看我吧，我就快要活不下去了。不说了，一大推废话。2020年活着就好。收起全文d,会不会得病,1,自己,健康,健康保险,抑郁,  , , ,"
                        2019年12月31日 02:38
                        ",Android,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&typeall=1&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g,https://weibo.com/7231474716/IneVRtZTq?refer_flag=1001030103_
CharmingDD仔,微信，QQ都是认识的人，没有办法发泄内心的不满，渐渐养成了不发朋友圈的习惯，但是自己变得越来越不开心，不开心的事情说不出去，越积越多，会不会得病？​,会不会得病,1,自己,健康,健康保险,抑郁,  , , ,"
                        2019年12月30日 13:22
                        ",iPhone客户端,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&typeall=1&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g,https://weibo.com/2743534995/In9IKiWgO?refer_flag=1001030103_
Substr,现在已经对酒上瘾很严重每天这个点必须喝半杯而且一天喝水喝特别少大概就一瓶不到..我会不会得病现在是为了让自己醉到晕才强行喝不然肯定失眠​,会不会得病,1,自己,健康,健康保险,酗酒,  ,1, ,"
                        2019年12月30日 01:29
                        ",Android,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&typeall=1&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g,https://weibo.com/3179091904/In53kwAWo?refer_flag=1001030103_
闲来问茶,这段时间每天睡得晚，起的晚，可恨没有好好吃早餐。会不会得病啊中午上一节男老师的尊巴舞，如果体力还可以的话，再上一节普拉提。之前我一直坚持大量运动，现在想想也不好，运动过量也是消耗有限的生命。晚上回市区收三个包裹，最近空虚的很啊，买了几十个包裹拆。星期二和h回我老家待一周，这个年纪怀念的只剩下食物了。收起全文d,会不会得病,1,自己,健康,健康保险,作息不规律,  , , ,"
                        2019年12月29日 09:39
                        ",HUAWEI Mate 30,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&typeall=1&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=2,https://weibo.com/6567704644/ImYQ27ERf?refer_flag=1001030103_
Ffcvhhfddcvg,最近一直再得病，什么情况老了吗，也不知道我最近会不会有好运​,会不会得病,1,自己,健康,健康保险,生病,  , ,1,"
                        2019年12月28日 19:45
                        ",iPhone客户端,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&typeall=1&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=2,https://weibo.com/2406566381/ImTnsBFVo?refer_flag=1001030103_
可爱的蜜桃仙女,院长揉了我胸，看了疤痕。说胸部恢复很好，也不用穿塑身衣，但是疤痕需要用美皮护和红色疤痕膏了。一会儿我就去买。具体方法护理时我再发！让我2月再过来，估计会进行除疤针管理吧！对于一些宝宝说报道毛面假体可能致癌，贝拉假体之所以受韩国人喜爱，还是有很多可取之处的。我认为很适合亚洲人！优势可以自行功课！而且它是介于毛面和光面之间的微毛面。反正假体，还是因人而异，选适合自己的吧。至于日后会不会得病之类的讲真，生死有命富贵在天！我认为活在当下就挺好！2韩国·Seoulkorea收起全文d,会不会得病,0,,,,,1,2,4,"
                        2019年12月28日 14:33
                        ",iPhone客户端,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&typeall=1&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=2,https://weibo.com/7334060270/ImRkCFSeu?refer_flag=1001030103_
吕良英雄,#孝感地震#08年汶川8级地震那次，正坐在上铺床上晃腿，柜子上的锁�直接大声敲打柜子，声音很大，然后特意提醒下铺的同学别晃床了，都快塌了。没反应，低头一看，没人。立马意识到地震了。楼道里到处都是跑的人。当时在六楼，来不及跑的。干脆趴窗户看看所有人都在操场避震的情形。10年玉树7级地震的时候，正在教室里备考，老师的第一反应是，快趴桌子下，然后大家都没动，抬头看灯晃来晃去的，13年雅安7级地震，虽然在没感觉到什么，但是家里说玻璃差点都掉了13年漳县6.6地震那次，在32楼干事，突然晃倒，手扶着墙站不住。一起的一个大叔说，突然头晕，我会不会得病了啊？我说我也晕，然后立马反应过来地震了，当时楼的摆动幅度应该有1米了。19年孝感4.9级地震，骑车在路上没啥感觉。因为发生在待过得地方，老爷子第一时间给我打电话，不方便给挂了，后来回过去的时候问我咋样啥感觉，我说不知道啊。后来看到大家都在说地震的事才知道，所幸大家都平安无事。2武汉收起全文d,会不会得病,0,,,,,  ,5,2,"
                        2019年12月27日 00:22
                        ",微博极速版,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&typeall=1&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=2,https://weibo.com/2749412271/ImCkX9wry?refer_flag=1001030103_
我不是啊球,这情商也太低了吧？再怎么你也不应该在好朋友猫咪生病后问会不会传染？而且还说以后出去工作心情不好就不用上班了吗这些话吗？作为旁观者听到这些话真的好难受哦，起码也相处两个月了，一知道得病了大家都疯狂去找资料该怎么治疗。。​,会不会得病,0,,,,,  , , ,"
                        2019年12月25日 20:45
                        ",nova5 人像超级夜景,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&typeall=1&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=2,https://weibo.com/6486300624/Imru8dp4T?refer_flag=1001030103_
雲深一枝玉蘭花,我知道我焦虑症怎么来的了，吃药的第一天就在想这么多药会不会互斥产生不良反应，在想我到底得没得病，没得病吃这么多药会怎么样​,会不会得病,1,自己,健康,健康保险,焦虑,  , , ,"
                        2019年12月25日 19:51
                        ",微博国际版,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&typeall=1&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g&page=3,https://weibo.com/7018092348/Imr8ihfiG?refer_flag=1001030103_
