用户名,博文,转发数,评论数,点赞数,发文时间,来自,页面网址,博文链接
高油咸蛋黄鬼妈,"
                    06小北哥默默接过苹果兔子，咔嚓一下把兔头咬下来。阿虎看着苹果兔子很心痛，因为这个好浪费苹果。小北哥躺在病床上也很心痛，因为医药费住院费好贵。07显然小北哥是没有钱付的，付了他就要去江边喝风了。大明星一拍脑袋，抛了根橄榄枝，“要不你来给我当助理照顾照顾我家猫吧。”明星助理啊……小北哥想起了很多娱乐圈传闻，什么助理被打骂致残啦，什么助理代录节目凉凉啦。不禁眼神游移，移，移到了床头的用药清单上。08一、二、三……好多个零09“好。”小北哥斩钉截铁地说。10男助理老师阿虎，摸摸自己浑圆柔软的肚子，微微一笑，深藏功与名。 收起全文d
                ",  , ,1,"
                        03月01日 19:54
                        ",微博国际版,https://s.weibo.com/weibo/%25E5%258C%25BB%25E8%258D%25AF%25E8%25B4%25B9%25E5%25A5%25BD%25E8%25B4%25B5?q=%E5%8C%BB%E8%8D%AF%E8%B4%B9%E5%A5%BD%E8%B4%B5&scope=ori&suball=1&Refer=g,https://weibo.com/6988023737/IwCMIz7B7?refer_flag=1001030103_
CcCccc酱阿,"
                    我真的好想知道我的医药费报销什么时候到账看牙这么贵信用卡还款期又快到了问下保险公司三推四推从年前推到年后我寻思你们假期这么长还用工作吗 钱这么好赚有时候不是还不上 就是烦这些公司的工作效率 ​                ",  ,7,1,"
                        02月28日 11:13
                        ",iPhone客户端,https://s.weibo.com/weibo/%25E5%258C%25BB%25E8%258D%25AF%25E8%25B4%25B9%25E5%25A5%25BD%25E8%25B4%25B5?q=%E5%8C%BB%E8%8D%AF%E8%B4%B9%E5%A5%BD%E8%B4%B5&scope=ori&suball=1&Refer=g,https://weibo.com/1845775274/IwgwqvvVs?refer_flag=1001030103_
大宝娘的小窝,"
                    今天我爸去家附近的理发馆剃头，理完居然收了他128元。老头心疼得差点脑梗复发我劝他：算了，好歹人家还开门营业了，不然你不得扎小辫吗？再说了，要是生病医药费多贵呀，还要遭罪，多不划算。他这才好过了点。 ​                ",  ,3,3,"
                        02月26日 17:44
                        ",iPhone X,https://s.weibo.com/weibo/%25E5%258C%25BB%25E8%258D%25AF%25E8%25B4%25B9%25E5%25A5%25BD%25E8%25B4%25B5?q=%E5%8C%BB%E8%8D%AF%E8%B4%B9%E5%A5%BD%E8%B4%B5&scope=ori&suball=1&Refer=g,https://weibo.com/1854728807/Iw0eelG5i?refer_flag=1001030103_
该隐的小号,"
                    从小是个本质节约的人 甚至家人看到金牛座的性格解析爱钱之类的话语都会赶紧点头 得病以来想法变了很多 好多地方大手大脚惯了 吃药过后到现在才知道每个月医药费多贵 好吧又要开始节约了 ​                ",  , , ,"
                        02月24日 12:10
                        ",HUAWEI Mate 9,https://s.weibo.com/weibo/%25E5%258C%25BB%25E8%258D%25AF%25E8%25B4%25B9%25E5%25A5%25BD%25E8%25B4%25B5?q=%E5%8C%BB%E8%8D%AF%E8%B4%B9%E5%A5%BD%E8%B4%B5&scope=ori&suball=1&Refer=g,https://weibo.com/6404801856/IvFbn4hXy?refer_flag=1001030103_
爱喝汽水的鱼子酱,"
                    有时候走在马路上想被车撞，但是想了想司机明明没做错什么就要被罚款，医药费什么的很贵，会给别人带来很多麻烦，觉得别人太无辜了，然后想了想就好难过好委屈，到处我不认识的陌生人都有我心疼，我为什么没人心疼啊，不想活但又不敢死，为什么别的孩子一生下来有人宠着捧着，家人也善解人意，为什么我生下来你们总会说为什么小时候不把我掐死，为什么你们永远只会骂骂咧咧抱怨世事，难道是别人的家长，就像我永远成不了别人家的孩子一样吗？#时间真的能治愈一切吗# 收起全文d
                ",  ,1,3,"
                        02月17日 19:22
                        ",金立S10 四摄拍照更美,https://s.weibo.com/weibo/%25E5%258C%25BB%25E8%258D%25AF%25E8%25B4%25B9%25E5%25A5%25BD%25E8%25B4%25B5?q=%E5%8C%BB%E8%8D%AF%E8%B4%B9%E5%A5%BD%E8%B4%B5&scope=ori&suball=1&Refer=g,https://weibo.com/5610433759/IuE1gCRyu?refer_flag=1001030103_
YY亲密恐惧症,"
                    2017-10-28 除了吐槽生病的事，我还要吐槽医药费了，太贵，我要吃药吃穷了，吃药不能当饭吃，但不吃药又不行。我真的好烦有些药的说明书：一次0.25～0.5g ，每6小时一次，较严重者一次可增至1g ，但一日总量不超过4g 。 你觉得我可能知道0.25～0.5g是多少吗，1g又是多少吗。 ​                ",  , , ,"
                        02月13日 17:22
                        ",微博国际版,https://s.weibo.com/weibo/%25E5%258C%25BB%25E8%258D%25AF%25E8%25B4%25B9%25E5%25A5%25BD%25E8%25B4%25B5?q=%E5%8C%BB%E8%8D%AF%E8%B4%B9%E5%A5%BD%E8%B4%B5&scope=ori&suball=1&Refer=g,https://weibo.com/7361780816/Iu1wNd760?refer_flag=1001030103_
灵气凝杭,"
                    疫情发生之后，觉悟到有个好身体的重要性，养成良好的作息规律也是好身体的重要因素。熬最贵的夜，不止要用最贵的眼霜，还要付最贵的医药费。只有生病之后才知道，身体的病苦只有自己受。2020年最大的心愿就是自己和家人朋友身体健康。愿一切疾苦远离我们🙏 ​                ",  , , ,"
                        02月11日 08:46
                        ",iPhone客户端,https://s.weibo.com/weibo/%25E5%258C%25BB%25E8%258D%25AF%25E8%25B4%25B9%25E5%25A5%25BD%25E8%25B4%25B5?q=%E5%8C%BB%E8%8D%AF%E8%B4%B9%E5%A5%BD%E8%B4%B5&scope=ori&suball=1&Refer=g,https://weibo.com/6517946194/ItFildBZa?refer_flag=1001030103_
一只吴仔,"
                    都说 没钱不配恋爱，所以我不敢看异性。都说读书是走向富有的捷径，所以我爱读书。烟酒太贵，所以我不碰。打架赢了要赔钱，输了住医院要医药费，所以我不打架。没钱不配花心。去夜店花钱，所以不去。纹身很贵，没钱纹。运动不要钱，所以我爱运动。没钱所以脾气好才能让大家喜欢。做饭自己吃比外面吃更省钱，所以我会做饭。以后不可能花钱请保姆的，所以我会打扫卫生。 收起全文d
                ",  , ,1,"
                        02月07日 22:27
                        ",荣耀20,https://s.weibo.com/weibo/%25E5%258C%25BB%25E8%258D%25AF%25E8%25B4%25B9%25E5%25A5%25BD%25E8%25B4%25B5?q=%E5%8C%BB%E8%8D%AF%E8%B4%B9%E5%A5%BD%E8%B4%B5&scope=ori&suball=1&Refer=g,https://weibo.com/5682848742/It8XkBFzn?refer_flag=1001030103_
懒废物,"
                    哈哈哈哈，晒老年俱乐部徽章了，丢人不，三四十岁的人还在玩cos，一无是处单身狗，同龄人都成家立业而你还活在网络世界。谁愿意去跟一个老年人打架，你是不是想骗医药费过日子，老实说@尼尼玩666铁罐 替你老母担忧，迟早被你气死，请趁早订好棺材不然木料越来越贵你买不起不是我看不起你，而是跟你接触过的人都看不起你这个废物 收起全文d
                ",  ,3,2,"
                        02月06日 15:44
                        ",iPhone客户端,https://s.weibo.com/weibo/%25E5%258C%25BB%25E8%258D%25AF%25E8%25B4%25B9%25E5%25A5%25BD%25E8%25B4%25B5?q=%E5%8C%BB%E8%8D%AF%E8%B4%B9%E5%A5%BD%E8%B4%B5&scope=ori&suball=1&Refer=g,https://weibo.com/6578276717/IsWTwqndu?refer_flag=1001030103_
Strangeness承霖,"
                    刚刚看到有人说为什么还要自己买，这样的情况为什么国家不能统一发放？我就真的Excuse me？你说你病了你要国家报销医药费，现在就一个口罩，你还要国家给你备好？国家现在压力这么大，能不能帮忙分担一下？开句玩笑话，你觉得口罩贵，那ICU里的呼吸机，您是觉得便宜了呗。#口罩产量持续上升# ​                ",1,10,15,"
                        02月05日 20:10
                        ",HUAWEI Mate 30,https://s.weibo.com/weibo/%25E5%258C%25BB%25E8%258D%25AF%25E8%25B4%25B9%25E5%25A5%25BD%25E8%25B4%25B5?q=%E5%8C%BB%E8%8D%AF%E8%B4%B9%E5%A5%BD%E8%B4%B5&scope=ori&suball=1&Refer=g,https://weibo.com/2248879217/IsPcOqneZ?refer_flag=1001030103_
nanazwei,"
                    这几天微博上看到很多人举例说生活太难，疾病太多，医药费太贵。我想给大家分享的是，我们如果把自己人生有可能会遇到的最糟的事情都先预想好它的解决方案，那平日里就不需要思虑太多！保险就是这样一个工具，你无病无灾的时候，想起自己的保额会至少有一份安心！真的面临疾病了，你可以不用考虑后顾之忧！        这次冠状病毒的肺炎，国家已经解决了医疗费，所以真的感染了，也可以享受到很好的医护治疗，而且是大部分免费，这是让人非常安心的！如果医疗费要自己出，那应该会有更多的惨剧。        我自己其实是彻底的悲观主义者，我习惯性会先想到最坏的情况下该怎么办，所以即使我老家现在一例病例都没有，我也不出门。我知道一旦有一例，这里的医疗条件和大众的防控意识是会让这个小城市面临很大的困难的。我甚至想好了一旦出现感染我该怎么办，具体到一些细节。        所以，给自己人生未来的不确定性，一个确定的保障，是非常重要的事情。希望我们全民都可以有保险意识，拿出自己年收入的十分之一，买一份保险，多一份确定，少一些悲剧。 收起全文d
                ",  , ,1,"
                        02月02日 13:45
                        ",iPhone客户端,https://s.weibo.com/weibo/%25E5%258C%25BB%25E8%258D%25AF%25E8%25B4%25B9%25E5%25A5%25BD%25E8%25B4%25B5?q=%E5%8C%BB%E8%8D%AF%E8%B4%B9%E5%A5%BD%E8%B4%B5&scope=ori&suball=1&Refer=g,https://weibo.com/1649017903/IskpdnQD9?refer_flag=1001030103_
北七丶白,"
                    柒七 徘徊 【柒七向】「徘徊」EP.1简介去EP.0看---------------------大保J发廊里。---------------------柒睁开了双眼。六七被吓了一跳，笑着说：「靓仔，你醒啦。你伤的好严重哦，医药费好贵的，你去付给神医吧，我可不帮你还哦。」『你系边个？』柒从沙发上坐了起来。「我叫伍六七，是这个岛上的最强发型师！靓仔，你叫什么啊？」『柒。』「诶？难道你那个柒和我这个一样吗？这么巧的吗？」『唔一样。唔系你衫上嘅果个“七”。』（不一样，不是你衣服上的那个七）「那你这把刀好厉害的样子哦，不过怎么这么碎呢？」『……』大保走了进来：“阿七啊，这个人的医药费你和他说了让他自己付吗？”「说了啊。」『嗰医药费有多少，我可以还。』柒站了起来，向门口走去。（那医药费有多少，我可以还。）「你别急着走啊，你的伤养好再走也可以啊，而且医药费……所以干嘛这么急嘞。」六七想要追回柒，柒突然的一转身使得两人的距离变得很近。「诶？？靓仔你……改主意了？」『真嘅可以喺呢度修养？』（真的可以在这里修养？）「嗯。你只要到时候还了钱就随便你什么时候走。」「靓仔饿不饿啊，要不我给你做一份牛杂？」『嗰就多谢了。』---------------------未完待续啦哈皮文本见谅QAQ 收起全文d
                ",  ,1,15,"
                        01月27日 15:48
                        ",柒七超话,https://s.weibo.com/weibo/%25E5%258C%25BB%25E8%258D%25AF%25E8%25B4%25B9%25E5%25A5%25BD%25E8%25B4%25B5?q=%E5%8C%BB%E8%8D%AF%E8%B4%B9%E5%A5%BD%E8%B4%B5&scope=ori&suball=1&Refer=g,https://weibo.com/6749307547/IrqEg61dK?refer_flag=1001030103_
