用户名,博文,转发数,评论数,点赞数,发文时间,来自,页面网址,博文链接
舒国人,"
                    2019年最后一天，想一想我这一年遇见了什么。有我让别人不舒服的事情，也有别人让我不舒服的事情。当我让别人不舒服的时候，我会道歉，即使别人已经不在意或者不需要，但是当下一次面对相似的事情，我会做的更好。在人际交往中，大多数时候是自己在边上“看”，因为不知道下一句会不会冒犯到别人，感觉有的成年人很敏感，所以我变得更谨慎。做事情之前也会比较代价和结果是否对等，当我看不见结果或是得不到回应的时候，我会选择放弃，因为或许还有更好的选择。这也许这是怯懦，也许这是沉稳。灾难这种东西，接连不断才是世上常有的事，找借口的话就会有人来救你吗？大学之前我觉得自己就是个混子，上了大学之后，开始问想要什么。我会过上一个普通的生活，我会有一套属于自己的房子，会有一辆车。可能我会为了工作而身不由己，可能我会被贷款压的喘不过气。但是我仍然会每天努力工作，因为我知道我工作是为了什么。我会有一个我很喜欢的女孩子，我也会努力让她开心。我们会斗嘴，我们会吵架，但是我觉得这不是问题。没有秘密，没有冷暴力，这是真实的一部分。当彼此能一次次沟通，相互理解，把矛盾解决了，也许就从新鲜感变成归属感了吧。可是我现在还没有一份自己的工作。可是让你喜欢的女孩子喜欢你可不容易。可是让人笑其实是很难的事情。所以你没有理由不变得更优秀。 收起全文d
                ",  , 6, 1,"
                        2019年12月31日 23:22
                        ",微博 weibo.com,https://s.weibo.com/weibo/%25E4%25B8%258D%25E8%2588%2592%25E6%259C%258D%2520%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A?q=%E4%B8%8D%E8%88%92%E6%9C%8D%20%E4%BC%9A%E4%B8%8D%E4%BC%9A&typeall=1&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g,https://weibo.com/5417631392/Inn4YAqnA?refer_flag=1001030103_
何一泓186,"
                    有时候觉着我比我对象大两岁算大吗？应该是大14个月，以往跨年都是我陪他的。今年没在一起跨年 ，差不多有一个半月没见了。他确实表现的格外粘人，一天想我要说一百遍，问我要不要和他在一起一辈子？会不会一直爱他？如果我有一点问题的话，他就会说你是不是要跑了？我经常都是这个表情。晚上又说身体不舒服，又是困了，我让他早一点睡觉觉，他又说：我不睡觉，我想你，嘤嘤嘤~~他经常会表现的好像很伟岸，可是每次太想念的时候就会完全是一个小男孩的样子。男人，这种动物真是神奇。今天还说了谢谢我我也非常开心有这样的小可爱在身边噢 收起全文d
                ",  , , ,"
                        2019年12月31日 23:20
                        ",中兴天机10s Pro 5G,https://s.weibo.com/weibo/%25E4%25B8%258D%25E8%2588%2592%25E6%259C%258D%2520%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A?q=%E4%B8%8D%E8%88%92%E6%9C%8D%20%E4%BC%9A%E4%B8%8D%E4%BC%9A&typeall=1&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g,https://weibo.com/6408893080/Inn402p9Y?refer_flag=1001030103_
Lue蕾,"
                    2019年最后一天的最后几个小时，小家伙突然就嗨得不行，像反斗星一样在肚子里不停的动，甚至可以说是孙悟空大闹天宫一样。从坐着看跨年晚会他爸给我剪脚指甲的时候开始，后来起来走动好一会在厕所刷牙时候消停了一会，想着会不会是今晚电视声音太大太嘈杂影响了他，本来还想看跨年晚会倒数的，实在被他折腾得不舒服，又不知道是啥原因令他这样，最后还是赶紧回房间躺着，刚躺下也是正常没几分钟，又开始波涛汹涌般的动个不停，真不知啥原因，今晚也没有吃什么特别的东西，都是平时吃开的食物。现在又不敢睡觉，也被折腾得没法睡，只能等他慢慢平静下来。离卸货还有两周，一切顺利。 收起全文d
                ",  , , ,"
                        2019年12月31日 23:19
                        ",三星android智能手机,https://s.weibo.com/weibo/%25E4%25B8%258D%25E8%2588%2592%25E6%259C%258D%2520%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A?q=%E4%B8%8D%E8%88%92%E6%9C%8D%20%E4%BC%9A%E4%B8%8D%E4%BC%9A&typeall=1&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g,https://weibo.com/2431964474/Inn3TwTiZ?refer_flag=1001030103_
何为今又为昔,"
                    博君一肖   日！！！我真的变成了妈妈粉！！！我刚刚一边嚎 好帅一边特别担心dd会不会摔跤，一边个边的说 他肯定很累水进眼睛肯定也不舒服   操好心疼 又好欣慰  崽崽 总有人看得到你在发光啊  你就是足够好让我们喜欢啊！！  坐等gg ​                ",  , , ,"
                        2019年12月31日 23:00
                        ",博君一肖超话,https://s.weibo.com/weibo/%25E4%25B8%258D%25E8%2588%2592%25E6%259C%258D%2520%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A?q=%E4%B8%8D%E8%88%92%E6%9C%8D%20%E4%BC%9A%E4%B8%8D%E4%BC%9A&typeall=1&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g,https://weibo.com/6587475651/InmW5eWxW?refer_flag=1001030103_
王puppy的驴啊,"
                    王嘉尔哥哥！！今晚你的舞台真的超级棒！！❤不知道我有多么的骄傲玩得是不是开心？今晚嗓子会不会不舒服？有点担心😫希望你要 照顾好自己 表演完要穿好衣服🙏要吃好玩好 还要吃一点对嗓子好的🙏希望你有一个好的休息然后新年快乐！！新的一年开开心心💙@王嘉尔 @王嘉尔 @王嘉尔 收起全文d
                ",  , 3, 16,"
                        2019年12月31日 22:58
                        ",王嘉尔超话,https://s.weibo.com/weibo/%25E4%25B8%258D%25E8%2588%2592%25E6%259C%258D%2520%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A?q=%E4%B8%8D%E8%88%92%E6%9C%8D%20%E4%BC%9A%E4%B8%8D%E4%BC%9A&typeall=1&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g,https://weibo.com/6487170359/InmVe21Mr?refer_flag=1001030103_
坠兔放光,"
                    以及崽那里冷不冷啊，在水里泡着会不会不舒服啊崽崽                ",  , , ,2019年12月31日 22:42,微博国际版,https://s.weibo.com/weibo/%25E4%25B8%258D%25E8%2588%2592%25E6%259C%258D%2520%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A?q=%E4%B8%8D%E8%88%92%E6%9C%8D%20%E4%BC%9A%E4%B8%8D%E4%BC%9A&typeall=1&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g,https://weibo.com/2116890350/InmOJgrnA?refer_flag=1001030103_
菠萝吃土豆,"
                    姥爷，今天是2019年的最后一天，今天超级冷，今天晚上一定很多人在狂欢在一起跨年，我呢，在家老老实实驮着橙子哄她睡觉，哈哈，其实没有橙子我也是在家卧着，因为真的太冷了。明天我们一起回姥姥家，我爸最近不舒服，在打针，希望他快点好起来。舅舅说等您孙子放假他就回来，估计还有十几天。今年过年挺早的，1月底就过年了，姥姥说三年不能贴对联，今年我就没有买。冬至的时候我妈在姥姥家住，她说姥姥对着您的照片哭了，她一定很想您的。上星期我给您买了新的香炉，长的可好看了，以后姥姥就用它给您烧香，再也不用用饭盒了。姥爷，天堂有新年吗？会不会放烟花？冬天会不会下雪呢？您要好好照顾自己，如果您有了新的家庭，一定要听话，不可以再和以前一样不乖。姥爷，希望我明年还会和今年一样，所有的一切都顺顺利利，平平安安，您会保佑我的，对吧~爱你哦~ 收起全文d
                ",  , , ,"
                        2019年12月31日 22:22
                        ",iPhone客户端,https://s.weibo.com/weibo/%25E4%25B8%258D%25E8%2588%2592%25E6%259C%258D%2520%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A?q=%E4%B8%8D%E8%88%92%E6%9C%8D%20%E4%BC%9A%E4%B8%8D%E4%BC%9A&typeall=1&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g,https://weibo.com/1144447302/InmGK2TQ2?refer_flag=1001030103_
慵懒想结果子的葡萄,"
                    2019年12月31日 是我23岁生日 今年赶在跨年过生日也挺好 2019年一年不开心占了一大半 考研失败 妥协家里找本地工作 接手的工作还不喜欢 性格软让同事和学生欺负 今年也是我尴尬的笑最多的一年 人家说笑的多的人其实很孤独 说的就是我吧 2019年也是哭的最多的一年 唯一值得高兴的是应该就是自己瘦了20斤吧 不过现在我的饭量贼大 心里不舒服再加上干活耗神 反而还瘦了一丢丢 家里没人可以唠嗑 不想出门交朋友 也感觉自己没时间 想出去玩却被爸爸制止说家里忙不过来 我最近五年累计出远门两次 感觉自己要憋疯了 没有勇气说放弃一些自己拼 跟父母打不起那仗 一直妥协还让自己崩溃 我可真是个天才 一直不想让自己闲下来 一闲下来就想哭 年底的时候认识了一个人 把他当自己的树洞 也不知道他会不会一直当我的树洞 现在因为感情的事 反而我有了负担 不想伤害他却还希望他可以再给我些温暖 我好想找一个可以一直陪着我的人啊 我还希望这个社会不要太社会了 我还希望2020年我可以像个大人 收起全文d
                ",  , , ,"
                        2019年12月31日 22:12
                        ",魅族 16 旗舰手机,https://s.weibo.com/weibo/%25E4%25B8%258D%25E8%2588%2592%25E6%259C%258D%2520%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A?q=%E4%B8%8D%E8%88%92%E6%9C%8D%20%E4%BC%9A%E4%B8%8D%E4%BC%9A&typeall=1&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g,https://weibo.com/7348770197/InmCmbZLb?refer_flag=1001030103_
说给美少女的洞爷,"
                    【投稿】洞爷好，各位美少女甜心们好，是这样的，我们班有一个男孩子喜欢我。但是我有一个姐妹Y和他去年是同学，在男孩子追我的期间一直发出“你和她不可能的”“你太丑了吧也”诸如此类言论。但是我很喜欢他，就在十二月的时候同意了他的表白。但在此之前Y来问我会不会和他在一起的时候我都不太好意思而且和Y不是很熟怕她和自己姐妹讲 有点不好意思…就很支支吾吾，没有正面回答。 现在我和我男朋友谈恋爱了，Y就刻意的有不理我，也经常会有奇怪的无法理解的事：比如我和男朋友稍微有点意见相悖的情况在午饭时间理论，Y在我们前面吃饭她就一直露出奇怪笑容，想回头又有点控制自己不回头的时候；和别人讲话的时候故意看着我说类似你们快分手之类的话；一直和别人说我在钓鱼…这样的事有很多，我感到困惑不明白为什么她这么说，好像很希望我快点分手…？但是她说自己喜欢女孩子，目前为止也只和女孩子谈过恋爱，所以也不存在她喜欢我男朋友的可能…，我也没有谈恋爱以后故意疏远她，问问大家我应该直接找她问清楚吗…因为天天这样真的让我有点不舒服谢谢各位美少女了 收起全文d
                ",  1, 37, 890,"
                        2019年12月31日 21:46
                        ",万事皆可投Android,https://s.weibo.com/weibo/%25E4%25B8%258D%25E8%2588%2592%25E6%259C%258D%2520%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A?q=%E4%B8%8D%E8%88%92%E6%9C%8D%20%E4%BC%9A%E4%B8%8D%E4%BC%9A&typeall=1&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g,https://weibo.com/1945877074/Inms5FhaS?refer_flag=1001030103_
L_sihanHH,"
                    2019年最后一天最后一个晚上 本来还想说洗头洗澡然后哄布丁睡觉完美结束结果家里停水一天 今天晚上澡都可能没办法洗好丧！！婆媳关系真的是千古难题我自认为我做的很好了衣服鞋子护肤品吃的甚至连袜子能想到的都在跟婆婆买我妈妈知道我这样对婆婆 她可能心里也会不舒服吧毕竟我从来都没有这样对过她就算买她也会给钱我会担心我会不会没钱用自认为很好相处的我最近真的有点烦了烦在带布丁 睡觉 吃奶 穿衣服 她总是要按照她的意愿来说真的 好几次忍住了怒气就算忍不住多说几句最后她总是有自己的一套说辞安慰自己说没事 少跟她计较布丁少睡一下少吃一点也不会怎么样吧大不了就是少长点 肉肉衣服穿多穿少大不了就是感冒忍忍忍忍吧大家都挺难的想想我这暴脾气为了布丁真的变了好多2020年希望一切都好吧！ 收起全文d
                ",  , 5, 1,"
                        2019年12月31日 21:15
                        ",iPhone客户端,https://s.weibo.com/weibo/%25E4%25B8%258D%25E8%2588%2592%25E6%259C%258D%2520%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A?q=%E4%B8%8D%E8%88%92%E6%9C%8D%20%E4%BC%9A%E4%B8%8D%E4%BC%9A&typeall=1&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g,https://weibo.com/1847453575/InmfA1EQo?refer_flag=1001030103_
