用户名,博文,转发数,评论数,点赞数,发文时间,来自,页面网址,博文链接
限量泡芙馆,"
                    给好多人说了新年快乐 说了新年祝福 还没有给自己说过。新年快乐 希望在2020年你可以学有所成 重要的不是崭新的年份 而是你可以改变的决心 你下定决心去做的努力 这才是最重要的。希望在2020年要身体健康 平平安安 不要因为总是觉得自己不会得病 而总是熬夜 总是吃垃圾食品点外卖 总是不顾及身体会不会受影响 因为你已经不是小孩子了 你也在一天天的变老 不要再像之前一样了。希望在2020年自己会学会独立 不要总是依赖于别人 很多事情需要你自己去做 不要害怕 胆子大一些 要学着自己一个人。希望在2020年可以开开心心 不要总是想一些乱七八糟的事情 不要让别人控制你的情绪 如果把自己的喜怒哀乐全都牵扯在一个人身上 那可真是太糟糕了 一定要避免这种状况。不要随波逐流 好好做自己 该做什么就做什么 不要想别人在做什么 做好你自己该做的事 过好你自己的生活 和别人保持好距离 做事千万不要越界 谨记这一点 毕竟别人的生活和你没有关系。希望自己越来越好吧 把所有不好的斩断在现在 希望我爱的人 我的家人都可以身体健康 平安开心。加油 一定要好好努力！2020年要学有所成 要瘦 要独立 要好运爆棚——十年代的最后一天 收起全文d
                ",  , , ,"
                        2019年12月31日 23:59
                        ",前置双摄vivo X9,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&typeall=1&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g,https://weibo.com/7110290864/InnjW9O0v?refer_flag=1001030103_
K开心惠惠,"
                    如是因果       邻居张老伯好练气功，还乐于用气功为人治病，然而他治不了已困扰自己三四年的头晕病，药物治疗也不见效。用他自己的话说“头晕得总像喝了二两酒似的”。 　　一个机缘他见到了妙法老和尚，恳求老和尚为他发功治病。 　　师父笑着说：“我不会发功治病。人得病总是有原因的，我可以把你头晕的原因告诉你，病能不能好还要看你自己。这也是佛教说的‘命自我立’的道理。比如你因不明理作错了某件事情，给自己和他人带来了烦恼和痛苦。如果你遇到善知识，告诉你造成烦恼和痛苦的原因，你明理后认识了自己的错误，并加以改正，烦恼和痛苦自然就没有了。因此佛教不是让人迷信佛、菩萨或某个大德高僧，而是希望每个人都能获得智慧，自己改造自己的命运。” 　　张老伯若有所思的点了点头。 　　“你的头晕病，是因为你三四年前伤害过一窝老鼠造成的，有没有这回事？” 　　“有，有这回事。师父您真神了！”张老伯想都没想地说道，“三年前的一天，我在盛杂物的小屋里发现了一窝刚出生的小耗子，足有六七只。我胆小，不知该怎么弄死它们，就把它们装在鞋盒子里使劲晃，晃了一阵我认为它们死了，便顺着垃圾道扔了下去。这跟我头晕有关系？” 　　“是的。那一窝老鼠并没有被晃死，只是被你晃晕了而已。如是因如是果，这就是你头晕的原因。” 　　张老伯好像自言自语的说：“您说的还真对，我就是从那以后开始头晕的。这是老鼠没死，要是死了呢，还不找我偿命？” 　　“是的，杀生会减寿命，或者会在这一生遭遇横祸。动物所以会被杀，也是它们前生种下杀生的因，今生才有此果报。我们今生杀害它们，又欠下了命债，如此循环，冤冤相报，没完没了。所以我们凡夫会在六道里‘头出头没’，没有出期。只有了解佛法，才能深信因果，止恶向善，脱离生死苦海。怎么样，今后还要杀生吗？” 　　张老伯听得有些出神，见老和尚问，急忙答道：“今后我再也不杀生了！”话音一落，他好像愣了片刻，随即欣喜地说：“师父，我的头突然清醒了，一点也不晕了！” 　　满屋子的人都笑了。 　　“不过”张老伯接着又说，“老鼠是害虫，祸害人的财物，甚至传染疾病。如果人人都不杀它，将来会不会泛滥成灾？” 　　“大自然本身是一个整体，大至宇宙，小至微尘，包括各种生命体，都有他自己的运行规律、存在的时间。人有生老病死，物有成住坏空。无论山川、海洋，还是花朵、露珠，只要它有形成，就有坏灭。但是，这种坏灭、生死，有它自身的规律，如果无视自然规律，任意破坏必然导致不堪设想的恶果。比如，我们为了一些眼前利益，盲目的炸山取石会导致山体滑坡、森林植被被毁；大量抽取地下水，会引起地面下沉。你不见由于大量砍伐森林，捕杀动物已使许多物种绝迹或濒临灭绝。一方面人类拚命保护濒危动物却难以修复脆弱的生物链；一方面是老鼠等人人喊打的害虫肆虐猖獗，他们不但生殖能力极强而且还有了抗药性。其实，老鼠的天敌有许多，如蛇、猫头鹰、黄鼠狼等等。可这些天敌却被我们人类抓着吃了，或扒了皮做成各种衣饰。因此所谓的天灾往往是由人祸造成的。” 　　妙法老和尚顿了顿又说：“我告诉你一个办法可以免除鼠患，你不妨试一试。” 　　“首先应当懂得老鼠也是生儿育女的有情动物，它们也像牛马狗一样听懂一些人类的语言。当你明白不杀生的道理后，你可以每天在老鼠常出没的地方，为它准备一些剩饭之类的食物。并且默念‘自己以前不懂佛法，杀了许多老鼠，现在明白了不杀生的道理，今后决不再杀生。还要为杀过的老鼠念经，超度它们。希望老鼠不要再糟蹋家里的东西。’只要你诚心诚意这样做，一定会见到效果。甚至有一天，老鼠就会搬家走掉了。” 　　师父说的一席话令我耳目一新。后来，这个方法真的屡试不爽。有的人家中蚂蚁成灾，采用这个办法也很灵验。 　　不信？         那你试一试！ 收起全文d
                ",  , , ,"
                        2019年12月31日 19:49
                        ",穿搭超话,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&typeall=1&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g,https://weibo.com/7285235466/InlGytSuA?refer_flag=1001030103_
易只烊小姑凉,"
                    蛙糖绿色地球全球保卫行动@绿色地球志愿者联盟 @蛙糖官微 我是北方民族大学绿色地球志愿者杨海琴今日绿色出行，没有乱扔垃圾今日读书：不抱怨的世界读书时长：3小时读书感悟：今年暑假翻看了美国作家威尔鲍温的《不抱怨的世界》，在细读了以后，真正理会了其中的道理。也许有人会说，不抱怨如何让人发泄，长期不抱怨会不会得病。其实不抱怨是人生的一种境界，是一种放下挫折和不满去寻找和追求新目标的一-种衔接方式。真正的做到不抱怨，再加上努力和拼搏，你的事业会更加成功，你的人生会更加美好。 收起全文d
                ",  , , ,"
                        2019年12月31日 19:32
                        ",nova5i 2400万AI四摄,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&typeall=1&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g,https://weibo.com/6049840992/InlzL8bO5?refer_flag=1001030103_
一根筋为认真,"
                    #武汉发现不明原因肺炎#不好意思，我想请问一下，其他的病，医院都知道原因么？我不是指那种普通的感冒发烧，我是说关于炎症。你住过院，生过病么？有问过医生，是什么原因咳嗽，什么原因发炎么？如果有，那你能得到的答案，是否有明确被告知生病原因的，请大家认真思考一下，是不是生病的时候直接扎的点滴，都是消炎药，如果不好，那就用更好的消炎药，咱们不抬杠，就说，你生病的时候，会不会问医生，请告诉我什么原因得病，下次如何避免？有几个医生可以明确告诉你原因的？？？ 2沈阳·北二路 收起全文d
                ",  , ,2,"
                        2019年12月31日 14:45
                        ",HUAWEI Mate 10,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&typeall=1&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g,https://weibo.com/7330003442/InjGXupE9?refer_flag=1001030103_
chenchen陈姑娘,"
                    有时候会想，要是突然得病了，会不会自己就怕了，如果我不在了，会不会让别人很伤心，特别是我爸我妈，觉得他们会受不了的。还有，人死后，真的有天堂吗，真的有灵魂吗，真的有轮回吗。人死后会不会和睡觉是一样的，一点感觉，一点意识都没有的，这样好像真的蛮舒服的，世上所有美好的事情也和我无关了。我觉得我快疯了，一天天想有的没的。 收起全文d
                ",  , , ,"
                        2019年12月31日 12:14
                        ",HUAWEI nova 2s,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&typeall=1&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g,https://weibo.com/2302495963/IniHRwvpv?refer_flag=1001030103_
小竹子殿下,"
                    事情是这样的，kid这王八蛋……到早上也不肯吃饭，流鼻涕，气喘，不动窝。我一夜没睡啊，时刻盯着它监测体温，还要和阿杜斗智斗勇打骂了一夜。早上八点，一边吼朋友开车来急救一边问院长分析会不会是中毒。我对kid是有被害妄想症的……我家最宝贝的其实是kid（不想养猫也是因为怕分担精力）。然后院长说带来看看吧，最近好几个阿拉和金毛被投毒，天天在医院不干别的，光抢救了。我赶紧给pucca弄饭，pucca挑食不吃，我就开了个罐头…………然后……然后……那个垂死的不肯吃饭动弹不得病恹恹的kid突然一跃而起哒哒哒跑过来一秒吃掉了一盆375g的罐头然后在门口欢呼雀跃旋转跳跃等着去遛狗……我和pucca二脸懵逼……在原地石化了……然后朋友也到了……那就去医院吧……都约了院长了，好歹看看……中国有句老话，“来都来了”……到了以后先挂号…护士问病因…我嚅嗫着说：疑似中毒站不起来……一屋子医生护士看着原地蹦迪欢呼和对面拉布拉多一边尬舞一边对骂撕逼的kid……面面相觑……然后院长来到诊室，看到蹦迪的kid……愣了：看起来很活泼啊！我：是……院长的表情很像表情包。当然还是要谨慎的，毕竟怕是慢性毒药或者轻微中毒。然后进行了一系列诊治抽血等等……等等……结论就是……血项也正常，疑似轻微中毒，以及可能和我一样鼻腔突然吸入冷空气，刺激的，呼吸道难受，着凉不舒服。还有很大可能……是馋的……气的……想吃蛋黄味的薯片儿……进行的一系列装病…… 决定输液加强代谢……观察观察…… 收起全文d
                ",7,125,1061,"
                        2019年12月31日 11:50
                        ",白宇的小宇宙,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&typeall=1&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g,https://weibo.com/1280687943/IniyfwhCu?refer_flag=1001030103_
乙谷道人,"
                    “烧香”本是修行之事，要”这样烧“才能消灾去祸！一般来说，初一、十五和神仙圣诞很多人都去道教宫观烧香许愿。很多道教宫观也以无求不应而闻名遐迩，受到很多信众的朝拜，香火不断。很多人也会以为这是因为自己上香的原因，才会得到神仙的庇佑，因而也会有很多人因为事情不顺利就到宫观上香，祈福禳灾。真的是因为上香的原因吗？很多人对烧香的事情表示怀疑，烧香真的有这么大的功用吗？为什么要去道观烧香？烧香有什么好处？为什么在道教宫观求神许愿会比较灵？是不是只要求神许愿，神仙都会满足心愿呢？带着这些问题，我们一起看看到道观里面烧香的那些事。道教焚香只是通信，心诚方可感通三界“九天之上，惟道独尊。万法之中，焚香为先。”焚香是供养神仙的主要方式之一。因为香烟缭绕可以结成云篆，可以上达天庭，奏表悃诚之意，所以上香前必须祝之以使心诚意真。在《祝香咒》中有“道由心学，心假香传。”也就是说，修道者用诚心来修道，借用焚香来表达自己得诚心诚意，将悃诚之意传达仙境。许多修道者都是通过虔诚焚香感应到三界的真师，为其传道解疑。历史上那些著名的修道大家，至少有一半以上都是通过焚香这种方式求得真师真法的。那么，是不是只要心诚了就一定能感通神仙呢？在道教科仪中，有“香自诚心起，烟从信里来。一诚通天界，诸真下瑶阶。”从这句话，不难看出焚香需要心诚，烟便是通信的主要媒介，心诚就能感通三界，这样神仙都会下凡看我们了。也正是因为这个原因，很多人都道教宫观都会烧香，也会虔诚地稽首磕头，希望能所求遂愿，无求不应。那么，是不是只要心诚了就一定能感通神仙呢？在道教科仪中，有“香自诚心起，烟从信里来。一诚通天界，诸真下瑶阶。”从这句话，不难看出焚香需要心诚，烟便是通信的主要媒介，心诚就能感通三界，这样神仙都会下凡看我们了。也正是因为这个原因，很多人都道教宫观都会烧香，也会虔诚地稽首磕头，希望能所求遂愿，无求不应。道教认为，“道”是宇宙的本体，万物的本源，万物运行的规律以及人间伦理道德纲常。“德”是道的外化及功能。神仙是循德而上，在精神和肉体及伦理道德超越于世俗的精神实体。神仙既是道的化身，又是人类道德的楷模。道教以道为最高信仰，用“道德”思想告谕、教化众生，追求天人合一、宇宙和谐、天下太平，教导人们通过修道积德达到安乐幸福、长生久视、得道成仙。赐福消灾同赖善功，天道无亲常与善人求神许愿之后，很多人都会想着愿望会不会实现。那么，是不是所有的愿望都会实现？是不是只要供品多就能得到神仙的眷顾呢？对于这些问题，在很多道教经典中都有提及，比如《道德经》有“天道无亲，常与善人”，《三官经》有“赐福消灾，同赖善功。另外，在很多道教善书中也作了专门的讲解。从这句话不难看出，神仙不分亲疏，总是把善果报应善人。所以给大家赐福消灾并不是仅仅因为许愿或者求神仙了，而是因为自身的善功。同样，也会有人问：为什么我烧香这么久，还会有这么多不顺和不快，为什么我的生意不挣钱，为什么我家里人得病，为什么儿子不听话，为什么我没房没车，很多人都比我强呢？《文昌帝君阴鸷文》有：“欲广福田，须凭心地。行时时之方便，作种种之阴功。利物利人，修善修福。正直代天行化，慈祥为国救民。存平等心，扩宽大量。忠主孝亲，敬兄信友。各睦夫妇，教训子孙。毋慢师长，毋侮圣言。”由此可见，需要修福修善必须从心底上下功夫，而不是做表面工夫，做到“行时时之方便，作种种之阴功”，以至于“利物利人，修善修福”，“人能如此存心，天必赐福于他”。如果凭心做事，《太上感应篇》中有“司过之神依人犯轻重，以夺人算。算减则贫耗，多逢忧患，人皆恶之，刑祸随之，吉庆避之，恶星灾之，算尽则死。又有三台北斗神君，在人头上，录人罪恶，夺其纪算。又有三尸神，在人身中，每到庚申日，辄上诣天曹，言人罪过。月晦之日，灶神亦然。凡人有过，大则夺纪，小则夺算。其过大小，有数百事，欲求长生者，先须避之。”所以，就算烧香很多年，每个月都去宫观烧香，也未必能避免厄运的降临。香供养神仙不是在表忠心，交保护费，买保险，所以信神仙就按照神仙的教导去完善自己，勤修福慧，自然百福骈臻，千祥云集。结交仙友栖集清虚，永断执迷咸归至道道教是长生久视之道，是升天得道之道，而不是让他套上更多的枷锁，以至于通过求神许愿获取那些短期利益，朝真拜斗获取消灾解难。如果真的这样，就好比走入福堂转了一圈，只解决了自身问题，而没有得到实质性的利益。《早课经》有：“思沉沦苦，发清净心，皈奉圣真，特求忏悔，丐怜愚昧。原赦罪愆，解释报冤，蠲消魔障，所觊命逢昌运，名注丹台。际遇真师，亲闻至道，精修妙行，增长善芽，尽节玄门，怡神真境。他日运应灭度，自性不致昏迷。径生十善之家。能通宿命，还证上乘之道，承侍虚皇。”所以，皈依正道，结交仙友，以至于栖集清虚，而长生久视。而不仅仅只是求神许愿，满足日常生活安定无虞，更应该“存平等心，扩宽大量”、“语善，视善，行善”，德蒙神仙赐福消灾，永断执迷咸归至道。 收起全文d
                ",  , ,1,"
                        2019年12月31日 09:08
                        ",HUAWEI Mate 20,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&typeall=1&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g,https://weibo.com/6437456594/InhudcE9Z?refer_flag=1001030103_
我会有未来吗,"
                    2019开始倒数了 哦原来小时候觉得很遥远的2020年就是明天了 要说2019年我收获了什么呢？仔细想想哈哈还真是收获的挺少的 2018年9月我来到这个陌生的地方开始了大学生活不知不觉就到了2019的末尾 这两年多我还是没有适应这里的环境 还是特别敏感 还是喜欢把坏情绪发泄到别人身上 还是不敢向这里的所谓朋友袒露自己的心声 还是会忽略一些重要的友情 还是不能独立 还是特别抑郁 还是会突然暴躁……细数我的种种 不仅没有丝毫改变还变本加厉 哈哈我也不知道是从什么时候开始的 会突然想摔东西想打人想哭 会想一些以前让我伤心的事 会觉得这个世界没有一个人是喜欢我是对我好的 总想着让那些我讨厌的人都去死 想着自己出一场事故或者得了不能治的绝症快点死掉甚至想过各种方式的自杀 有的时候晚上会睡不着可是又很困想睡觉然后就会很暴躁。在我意识到我的这些问题时 我正在上高中 这些问题一直伴随着我高考然后放假然后大一大二。说长不长说短不短的几年我将它们隐藏的很好，没有人跟我说过你能不能不要装了，我知道你一点都不快乐。家人觉得我任性爱闹有时候又很闷，亲戚邻居觉得我内敛不爱说话但有礼貌，老师同学朋友觉得我爱笑爱闹很好相处是个开心果，就连陌生人都觉得我有礼貌善于交际。只有和我相处好多年的好朋友让我不要总是光想着别人而忽略自己。我没有勇气没有胆量向他们倾诉我的问题就连我最好的朋友我也不敢向她们袒露一点，因为我害怕我倾诉之后不到没有得到我预期中的安慰和鼓励，反而害怕他们会不会觉得我很装因为他们一直觉得我很积极乐观，他们会不会因为我的问题觉得我很奇葩我脑子有问题而远离我？他们会不会告诉其他人然后让他们孤立我？光想一下这些我就害怕的不行，所以我就拼命的让自己开心，别人伤心难过我就努力安慰她们，有时候还会干一些吃力不讨好的事情也没有怎么埋怨只会闷在心里。我还会突然没有原因的暴躁，感觉全世界都在和我做对，没有地方发泄然后又消化掉。我真的很羡慕那些可以把自己的问题说出去的人，我始终不敢。我只敢把我的问题写成字然后在文字中拼命呐喊：看看我吧，我一点都不快乐，每一天都不快乐！看看我吧，我好像得病了，我好像坏掉了。看看我吧，我就快要活不下去了。不说了，一大推废话。2020年活着就好。 收起全文d
                ",  , , ,"
                        2019年12月31日 02:38
                        ",Android,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&typeall=1&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g,https://weibo.com/7231474716/IneVRtZTq?refer_flag=1001030103_
Usimplely,"
                    如果一段关系 让你 很很很不开心是不是没有必要再继续下去了总是生闷气的话我会不会得病？ ​                ",  , , ,"
                        2019年12月30日 22:46
                        ",iPhone客户端,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&typeall=1&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g,https://weibo.com/7364596212/IndpK6ALA?refer_flag=1001030103_
yedelei3,"
                    情绪低落，我为什么要怀二胎，我他妈为什么不坚持打掉，我不想生，自己的生活都还没过好，为什么要让我再生一个，烦死了，越想越来气，要抑郁了，会不会这么抑郁下去得病了，鬼火，老子不想生，烦求很 ​                ",  , , ,"
                        2019年12月30日 22:40
                        ",iPhone客户端,https://s.weibo.com/weibo/%25E4%25BC%259A%25E4%25B8%258D%25E4%25BC%259A%25E5%25BE%2597%25E7%2597%2585?q=%E4%BC%9A%E4%B8%8D%E4%BC%9A%E5%BE%97%E7%97%85&typeall=1&suball=1&timescope=custom:2019-01-01-0:2020-01-01-0&Refer=g,https://weibo.com/2373646745/IndnqubiY?refer_flag=1001030103_
