用户名,博文,转发数,评论数,点赞数,发文时间,来自,页面网址,博文链接
石原Satomi_Ishihara,"
                    #小奶狗寻靠谱铲屎官#啦！中华田园犬，一公一母，目测一个月左右。目前正是非常可爱的时期。会自己吃一点点米饭，泡软的狗粮还没习惯吃。羊奶粉也喝，但需要手动喂。考虑到每年过年很多人会弃养，最好是宁波本地的，有稳定收入。田园犬虽然好养活，但希望生病了能去医治，绝育做好，疫苗打好。 ​                ",  1, , 1,"
                        今天09:27
                        ",搜狗高速浏览器,https://s.weibo.com/weibo/%25E7%2594%259F%25E7%2597%2585%2520%25E6%2594%25B6%25E5%2585%25A5?q=%E7%94%9F%E7%97%85%20%E6%94%B6%E5%85%A5&scope=ori&suball=1&Refer=g,https://weibo.com/1862580922/IwRx9cHlf?refer_flag=1001030103_
想要瘦呢,"
                    说到底，女人还是要自强，不容易生病的身体，够用的收入，养心的爱好，强大到混蛋的小宇宙。拥有这些不是为了成为女汉子，而是为了搭建平等的基础。自己穿暖，才是真暖；自己真暖，才有资格互相温暖。@许菇凉的冬天 加油 ​                ",  , 1, 1,"
                        今天09:22
                        ",iPhone客户端,https://s.weibo.com/weibo/%25E7%2594%259F%25E7%2597%2585%2520%25E6%2594%25B6%25E5%2585%25A5?q=%E7%94%9F%E7%97%85%20%E6%94%B6%E5%85%A5&scope=ori&suball=1&Refer=g,https://weibo.com/5541492091/IwRv8ucLD?refer_flag=1001030103_
鲁南商报,"【贾庆臣：倒在战“疫”一线的志愿者先锋】贾庆臣，男，1989年4月出生，泰安市岱岳区角峪镇先锋村人，生前常年在济南一家快递公司从事物流运输工作。在新冠肺炎疫情防控的关键时刻，贾庆臣同志积极参加村疫情防控“泰安小美”志愿服务队，连续9天奋战在疫情防控一线，2020年2月8日，因劳累过度不幸去世，生命永远定格在31岁。

胸怀大爱，敢于担当，争做“泰安小美”排头兵

面对疫情，贾庆臣胸怀大爱，心系家乡，冲锋在前，用实际行动唱响“泰安小美”战“疫”之歌。

随着新冠肺炎疫情阻击战在全国打响，农村成为联防联控、群防群控的主战场。看到疫情蔓延的情况，贾庆臣忧心如焚，想着尽快为控制疫情做点什么。他跟妻子商量说，如果有需要、有可能，他要去武汉参加志愿服务。他还特意把自己的货车加满了油，就为了随时出发，他曾在朋友圈里说：“油已加满，随时待命！加油武汉！”

他通过各种渠道了解信息，积极响应市、区关于号召广大志愿者、志愿服务组织积极有序参与疫情防控的倡议，随时准备参加志愿服务。正在这时，他在先锋村“父老乡亲”微信群中，看到村支部书记李继明发布的招募“泰安小美”志愿者的消息，就第一个回复：“需要支援时打电话，在家随时待命！”在家等了几天的贾庆臣按捺不住，1月30号再次联系村支书，强烈表达想要加入“泰安小美”志愿服务队的意愿。于是，村里安排他从1月31日开始和其他8名“泰安小美”志愿者走上了疫情防控一线。

面对突如其来的疫情，贾庆臣完全可以在家中自我防护，却义务反顾地“逆行”站在了战“疫”一线。最让人心痛的是，在他去世的前一天晚上，还在朋友圈里发出值班的图片，并配文：“村里的硬核防疫，加油我的国！”有好友给他评论：“辛苦了！”他在2月8日一早还回复好友：“应该的。”谁也不会想到，这条消息竟然成了他最后的遗言。

满腔热忱，不惧艰险，勇做战“疫”一线“逆行人”

疫情防控期间，他认真负责，耐心细致，舍小家为大家，用自己的辛劳和坚守、奉献和汗水，织就了抵御疫情的严密防线，用一腔热血书写了最美“逆行人”的慷慨壮歌。

贾庆臣虽然刚刚加入“泰安小美”志愿服务队，但凭着一股认真劲儿，很快就熟悉了排查、测温、登记、消杀、劝返等各项工作。考虑到村里疫情防控需要紧急用车，他还把自己的厢式货车开到执勤点。虽然防护装备只有一只小小的口罩，但是，他工作起来却一丝不苟。他头一天上班就遇上了“棘手事”，一位从武汉返乡居家隔离的村民要强行外出，并与执勤人员发生冲突。他不怕危险，耐心细致地讲解当前疫情防控形势和有关规定，苦口婆心地劝说了半个小时，最终成功地说服其回家。

先锋村设置了两个出入口，一个在村南头，一个在万马岭，相距1公里。因为值班人员有限，贾庆臣主动申请了通宵值班的差事。他对村支书说，“我年轻，扛得住。”他每天上午入户摸排，下午在一个防控点值半天班后，回家吃口饭，顾不上休息，就立即赶到另一个防控点去值班守夜，天天如此。

为了守住外防输入、内防扩散的防线，贾庆臣和其他志愿者从强化网格化管理，实施地毯式排查，严格落实早发现、早报告、早隔离、早治疗，到叮嘱督促居民多通风、戴口罩、勤洗手、不聚集；从做好村庄封闭管理，加强疫情监测，到测体温、做消杀、清垃圾、搞卫生；从做好村民日常生活保障服务，到解决大家各种具体细微的生活难题等，都尽职尽责、尽心尽力，始终用自己的倾情奉献，守护全村人的平安。正是他和战友们昼夜坚守，不辞辛劳，不怕危险，才筑起了抗击疫情的铜墙铁壁。

“牺牲我的时间，换来大家平安，付出多少都是值得的。”贾庆臣说。他上午入口摸排，下午在万马岭值班，晚上又到村南头防控点守夜，连轴转的工作让身体有些吃不消。有一天，他感觉胸口疼。妻子不放心，让他去检查。为了不耽误值班，他挑了一个值班间隙，到镇卫生院进行检查，没有查出任何问题。大家看他很难受，都劝他回家休息。但他总是说，“没事，我能扛得住。”他干得更卖力，每次回家吃饭，都是狼吞虎咽，不出半个小时就又回到岗上。2月8日早上，他连续奋战9天后，因劳累过度，突发疾病，倒在了防疫一线，年仅31岁。这天，正是元宵团圆节。先锋村却在这个特殊的日子，失去了一位好儿子。

作为家中的独子，他肩上的担子不轻，妻子偶尔打点零工，儿子才刚9岁，父亲患有股骨头缺血坏死，母亲患有抑郁症多年，还有84岁的奶奶生活不能自理。他是整个家庭的顶梁柱。他曾想努力赚钱养家，给父亲治好病，买套四居室的房子，让全家不再租房住。然而，这一切就这样戛然而止，贾庆臣将生命永远定格在了战“疫”一线。李继明书记心里充满了惋惜，“临走前一天晚上，他还对我说，过几天，准备给武汉送一批消毒液，帮武汉抗击疫情。”李继明痛哭着说，“没想到，货没送到，他先走了。”

乐于助人，无私奉献，甘做志愿精神践行者

贾庆臣始终践行“奉献、友爱、互助、进步”的志愿服务精神，坚持学雷锋、做好事，为他人送温暖，为社会作贡献，谱写了一曲动人心弦的志愿者奉献之歌。

从小就在先锋村长大的贾庆臣，以家乡为傲。这里曾培养出 9 名博士、3 名留美硕士，素有“博士村”的美誉。身为先锋人，贾庆臣时刻把家乡勤劳朴实、勇于争先、乐于奉献的村风民风记在心中，事事走在前，时时讲奉献。2017年，贾庆臣贷款买了辆厢式货车，到济南市济阳区跑物流运输。事业越干越好的时候，他想的最多的，是帮助同行兄弟。2018年7月，他牵头成立“先锋车队”，免费为同行提供物流信息。他成立车队，不仅仅为了赚钱，更是为了传递互助友爱、积极向上的正能量。他作为队长，从不计较个人得失，自己掏钱订制工装，积极为大家义务服务，带领车队对内提升服务质量，对外树立车队良好形象，得到了同事和客户的广泛赞扬。

去年“双十一”期间，既是物流运输最忙的时候，也是收入最多的一段时间。但得知朋友闫少林的家人生病在医院无人照看，贾庆臣二话不说，放弃挣钱的黄金时间，就去医院帮朋友照护病人。“那段时间，贾哥如果搞运输，一天能挣1000多块，可是为了帮我，他却一个单子都没接。”闫少林说，“他还安慰我说，老人病好了比什么都要紧，钱以后可以慢慢再挣，我真的很感动。”

还有一次，海尔仓储物流调度员孙振利接到一个急单，100根太阳能集热管要在4个小时内，从济南历城区运送到平阴县，客户要得很急，但又腾不出车。情急之下，他拨通了贾庆臣的电话。贾庆臣二话没说，就应了下来。由于太阳能集热管属于易碎物品，为保险起见，他把一根根太阳能管小心翼翼地装到车厢里。所有货物清点完后，还专门拍照发给孙振利。当天，他不仅将货物准时送达，还保证了物品完好无损，客户非常满意。

母亲郑淑香回忆，一次，贾庆臣拿着一个红马甲，自豪地向她展示。她后来才得知，贾庆臣加入了一个叫“卡友地带”的卡车司机互助平台，已连续参加了五次救援，红马甲是对他的褒奖。在贾庆臣的带领下，先锋车队十几名工友也都纷纷加入。他常说，“谁都有难的时候，关键时候有人搭把手，或许难关就能渡过。”

如今，贾庆臣走了，但他的精神永不磨灭。同事孙善鑫说，“先锋车队不会解散，我们要把贾哥的志愿服务精神传承下去，发扬光大。希望贾哥一路走好！”

泰安市委书记崔洪刚在登门慰问贾庆臣遗属时说，“贾庆臣是新时代最美志愿者，在他身上，我们看到了无私奉献、舍己为人、乐于助人的优秀品质，正体现了新时代志愿服务精神。我们一定要发扬好，传承好，共同打赢这场疫情防控阻击战。”

泰安市文明委、岱岳区文明委先后授予贾庆臣“泰安小美”最美志愿者荣誉称号；山东省文明办、泰安市文明办分别评选他为“山东好人”“泰安好人”。O贾庆臣：倒在战“疫”一线的志愿者先锋 收起全文d",  , , ,"
                        今天09:16
                        ",微博 weibo.com,https://s.weibo.com/weibo/%25E7%2594%259F%25E7%2597%2585%2520%25E6%2594%25B6%25E5%2585%25A5?q=%E7%94%9F%E7%97%85%20%E6%94%B6%E5%85%A5&scope=ori&suball=1&Refer=g,https://weibo.com/3149590555/IwRsTBIYH?refer_flag=1001030103_
矢口豕者T夾,"
                    #美国新增4名死亡病例#美國看醫生非常非常的貴，很多貧民生病都無法看醫生的，只有一些中高收入的人有保醫療險才會去看醫生。美國大概有五，六千萬的低收入貧民，生病只有等死 跟破產。因流感死了很多人真的不奇怪。 ​                ",  , , ,"
                        今天08:00
                        ",Android客户端,https://s.weibo.com/weibo/%25E7%2594%259F%25E7%2597%2585%2520%25E6%2594%25B6%25E5%2585%25A5?q=%E7%94%9F%E7%97%85%20%E6%94%B6%E5%85%A5&scope=ori&suball=1&Refer=g,https://weibo.com/6326602118/IwQY1ppa7?refer_flag=1001030103_
西语2019,"
                    #湖北快递什么时候恢复##湖北快递##湖北什么时候解封#呆里面的95%大活人没有了收入，没有了自由，甚至这封锁的日子都不敢随便生病，好歹能不能先通快递，满足最基本的生活物资需求？！ ​                ",  1, 2, 31,"
                        03月02日 22:49
                        ",Android客户端,https://s.weibo.com/weibo/%25E7%2594%259F%25E7%2597%2585%2520%25E6%2594%25B6%25E5%2585%25A5?q=%E7%94%9F%E7%97%85%20%E6%94%B6%E5%85%A5&scope=ori&suball=1&Refer=g,https://weibo.com/3104456763/IwNm9x8FJ?refer_flag=1001030103_
大妞上山采药去了,"
                    “说到底，女人还是要自强，不容易生病的身体，够用的收入，养心的爱好，强大到混蛋的小宇宙。拥有这些不是为了成为女汉子，而是为了搭建平等的基础。自己穿暖，才是真暖；自己真暖，才有资格互相温暖。”———-作家冯唐。看到这句话，没有想到男人也知道女人生活的真谛！我是没有啥福气，一辈子没有花过男人一分钱，家里大事小事都需要自己操心，不知道这个世界上真有那种不工作，每天花男人钱，男人还特别疼爱她的夫妻，反正我是没有遇到，进而怀疑世界 收起全文d
                ",  , 1, 2,"
                        03月02日 22:12
                        ",iPhone 7 Plus,https://s.weibo.com/weibo/%25E7%2594%259F%25E7%2597%2585%2520%25E6%2594%25B6%25E5%2585%25A5?q=%E7%94%9F%E7%97%85%20%E6%94%B6%E5%85%A5&scope=ori&suball=1&Refer=g,https://weibo.com/1733572370/IwN7j634q?refer_flag=1001030103_
Sunflower-wr,"
                    【转】女人还是要自强，不容易生病的身体，够用的收入，养心的爱好，强大到混蛋的小宇宙。拥有这些不是为了成为女汉子，而是为了搭建平等的基础。自己穿暖，才是真暖；自己真暖，才有资格互相温暖。 ​                ",  , , ,"
                        03月02日 17:26
                        ",iPhone客户端,https://s.weibo.com/weibo/%25E7%2594%259F%25E7%2597%2585%2520%25E6%2594%25B6%25E5%2585%25A5?q=%E7%94%9F%E7%97%85%20%E6%94%B6%E5%85%A5&scope=ori&suball=1&Refer=g,https://weibo.com/2487931935/IwLflqEaC?refer_flag=1001030103_
婷婷花名酒妹,"
                    #小破和老酒的日常#跟他在一起之前，我不会化妆，真的是一点都不会，一支口红💄都没有。有一天他就截了个pyq里的代购图，问我：这个口红怎么样？你喜欢哪个色号？我立马就懂了。我说：你别买，我去专柜试个色，我自己买。然后我就去专柜买了人生中第一套化妆品，跟柜姐学会了化妆。不过我很懒，就化了几天……眼妆一直都化不好，我放弃了。美图秀秀他不香吗。他又觉得我衣服太少，带我去逛商场。我嫌贵啊就不想试，他就不高兴了：试试又不花钱，不试你怎么找到自己风格？然后真就试到了一套让他眼前一亮的。一问价格，三千。我：走吧走吧不买了。他：买了，就这套，zfb吧。柜姐：啊呀先生你真是好眼光，你看你女朋友气质多好，鞋子要不也带一双？他：鞋子多少钱？柜姐：一千。他：鞋子……就不要了吧，款式一般啊。我：不要了不要了，我有同款。至今这还是我最贵的衣服，单价过千。你们别笑，我学生时代真的是连美邦都没穿过。楚雨荨逛美邦那段我觉得可真实了呢。但这套衣服的质量其实一言难尽，尤其我后来赶上寒冬没工作没收入又生病，日子过得紧巴巴，我就老翻旧账：有那三千块钱干点啥不好，买肉吃他不香吗？他说：我当时也觉得三千夸张了，但我就是想给你买啊……而且我当时是真的飘啊，就觉得生活会越来越好，我以后还会挣更多的钱，三千花了就花了呗，我哪知道……唉我真的是又心疼又好笑又感动。真要重来一次我能把他拖走么？当然还是不能，那也太不解风情（且丢人）了。——————刚刚我跟他讲：你就算离职了，补贴也得要啊。（去年的，流程卡住了，还没发）他：你放心吧，我肯定会要的。我：嗯，苍蝇爪爪也是肉啊。他：那可不是苍蝇爪爪，那是一笔巨款啊！我：这就巨款了？他：那可不嘛，三千块啊！我：…… 收起全文d
                ",  , , ,"
                        03月02日 17:17
                        ",老女人的iPhone 7(脑残粉),https://s.weibo.com/weibo/%25E7%2594%259F%25E7%2597%2585%2520%25E6%2594%25B6%25E5%2585%25A5?q=%E7%94%9F%E7%97%85%20%E6%94%B6%E5%85%A5&scope=ori&suball=1&Refer=g,https://weibo.com/1393845540/IwLbI12jE?refer_flag=1001030103_
挽回前任攻略l,"
                    女人婚后要不要经济独立？说到底，女人还是要自强，不容易生病的身体，够用的收入，养心的爱好，强大到混蛋的小宇宙。拥有这些不是为了成为女汉子，而是为了搭建平等的基础。自己穿暖，才是真暖；自己真暖，才有资格互相温暖。#分手后如何挽回前任前男友##失恋了怎么挽回前任前男友# ​                ",  , 8, ,"
                        03月02日 15:06
                        ",iPhone 7 Plus,https://s.weibo.com/weibo/%25E7%2594%259F%25E7%2597%2585%2520%25E6%2594%25B6%25E5%2585%25A5?q=%E7%94%9F%E7%97%85%20%E6%94%B6%E5%85%A5&scope=ori&suball=1&Refer=g,https://weibo.com/6224747392/IwKksajlC?refer_flag=1001030103_
Diana_dou,"
                    说到底，女人还是要自强，不容易生病的身体，够用的收入，养心的爱好，强大到混蛋的小宇宙。拥有这些不是为了成为女汉子，而是为了搭建平等的基础。自己穿暖，才是真暖；自己真暖，才有资格互相温暖。 ​                ",  , , ,"
                        03月02日 14:49
                        ",iPhone客户端,https://s.weibo.com/weibo/%25E7%2594%259F%25E7%2597%2585%2520%25E6%2594%25B6%25E5%2585%25A5?q=%E7%94%9F%E7%97%85%20%E6%94%B6%E5%85%A5&scope=ori&suball=1&Refer=g,https://weibo.com/5841784285/IwKdpsp9e?refer_flag=1001030103_
