用户名,博文,转发数,评论数,点赞数,发文时间,来自,页面网址,博文链接
哟哦哦哦哦mua,"
                    我要被自己笑死了，看欢乐喜剧人吃了一堆零食，喝了一瓶真露一罐锐欧结果把自己喝晕了，从卧室走到客厅脚都发虚，趁着自己头脑清醒时赶紧回床躺着。 ​                ",  , , ,"
                        03月01日 21:00
                        ",前置双摄vivo X9,https://s.weibo.com/weibo/%25E8%25BA%25BA%2520%25E5%258F%2591%25E8%2599%259A?q=%E8%BA%BA%20%E5%8F%91%E8%99%9A&scope=ori&suball=1&Refer=g,https://weibo.com/7008108749/IwDdtsPAw?refer_flag=1001030103_
-天气真好呀-,"
                    在家躺久了，身体真的会出问题。那种肚子疼，疼到头晕发虚冒冷汗，就跟上次晕倒的感觉一模一样，还好是在床上，是在家里。果然还是要多运动，多走走啊 ​                ",  , , ,"
                        02月29日 06:02
                        ",大王的iPhone XS Max(金色),https://s.weibo.com/weibo/%25E8%25BA%25BA%2520%25E5%258F%2591%25E8%2599%259A?q=%E8%BA%BA%20%E5%8F%91%E8%99%9A&scope=ori&suball=1&Refer=g,https://weibo.com/1773964682/IwnUqrocL?refer_flag=1001030103_
呼和浩特交通广播,"
                    #新型冠状病毒# 居家防疫 仅三成受访者每晚11点之前休息#众志成城抗疫情# 新冠肺炎疫情期间，很多人都居家防疫。长时间待在家中不出门，导致有的人作息出现了混乱。而保证规律的作息、充分的睡眠对于提高免疫力很重要。最近你的作息情况如何？上周，中国青年报社社会调查中心联合问卷网，对3009名受访者进行的一项调查显示，78.3%的受访者每天能保证6-9小时的睡眠时间，但仅31.9%的受访者能在23:00之前上床休息。居家防疫期间，72.5%的受访者建议每天按时睡觉和起床。仅31.9%受访者每天能在23:00之前休息80后女孩刘曦春节假期未结束时就返京了，最近在家办公，为了保持良好的作息习惯，她特意制订了作息时间表。“我要求自己每天7：30起床，洗漱完去做饭，8：00左右整理房间，最晚8：30，我就能开始办公了。12：00，我开始休息，13:00继续办公。23:30休息。我平均每天能睡9个小时。”刘曦表示，居家办公和平时上班有很大不同，很容易作息紊乱，“制订时间表能让我更快地适应新情境，生活也井然有序”。北京某事业单位员工沈月（化名）坦言，春节以来，她胖了近5斤。“我平时就不爱运动，之前基本都是靠通勤保证每天的活动量。如今居家防疫，假期里除了吃就是睡，复工后也是在家办公，长时间坐着，肚子上的肉多了不少”。调查显示，居家防疫期间，78.3%的受访者每天能够保证6-9小时的睡眠时间，其中49.6%的受访者每天睡8-9小时。交互分析发现，60后能保证每天6-9小时睡眠的比例最高（82.2%）。值得注意的是，很多受访者晚上入睡时间较晚。仅31.9%的受访者每天能在23:00之前休息，46.1%的受访者23：00-24:00休息，19.9%的受访者0:00-2:00休息，2.1%的受访者2:00后才休息。72.5%受访者建议每天按时睡觉和起床刘曦说，因为不能外出，她返京后的头几天，在家除了躺着就是吃饭、看电视，后来感觉身体有点发虚，干什么事也提不起兴趣。“我赶紧制订了一个时间表，强制自己执行。最近我和父母视频时，他们都说我整个人看着精神很好，有活力了”。“居家防疫的这段时间，我已经胖了一圈，脸色也不太好。”沈月表示，她最近已经开始重视规律作息，“室内空间的限制容易导致人们活动量减少，这就更需要规律作息，保证良好的睡眠质量，否则体质会下降。可能最后没被病毒打败，却被自己的懈怠、懒惰打败了”。调查中，82.5%的受访者认为在这段特殊时期，良好的睡眠能够增强身心健康，提高抵抗力，71.6%的受访者认为会让人更有精神，有利于保持良好的心态。刘曦总结，疫情期间保持良好的作息主要靠个人的自控力，“自控力差的人可以制订作息时间表，或者设置闹钟，到点就能收到提醒”。她认为，居家防疫的人白天除了午休，应该尽量不在床上待着，否则容易睡着，“我的一位同事说她最近总在床上坐着或者斜躺着办公，虽然觉得舒服，但效率大大降低了”。沈月认为，居家防疫期间，很多人不是睡眠时间不够，而是睡太多，而且睡眠时间不科学。“首先，要保证23:00之前能够上床，可以听音乐、看书助眠，要避免睡前玩手机、打游戏。其次，家里活动范围有限，为了达到每日必要的活动量，进行室内锻炼非常有必要”。疫情居家期间，如何保证良好的睡眠？调查中，72.5%的受访者认为要做到每天按时睡觉和起床，65.9%的受访者提醒应避免白天睡太多，51.2%的受访者建议下午和傍晚适当进行体育运动，45.2%的受访者认为应避免一直躺在床上。 收起全文d
                ",  , , ,"
                        02月27日 19:45
                        ",HUAWEI P20 Pro,https://s.weibo.com/weibo/%25E8%25BA%25BA%2520%25E5%258F%2591%25E8%2599%259A?q=%E8%BA%BA%20%E5%8F%91%E8%99%9A&scope=ori&suball=1&Refer=g,https://weibo.com/1750357954/IwaruDLcP?refer_flag=1001030103_
飞惹惹惹惹,"
                    软和的被子就在眼前累瘫了还是想躺在凉凉的地板上提一提精神还不是休息的时候每次连续几个小时做完事情以后都会觉得心里发虚慌张喉咙里沁着泪水总想倾泄出来又找不到由头不是为了怜悯自己的辛苦想要流泪啊大概是觉得自己做的还不够多想要把从指尖划走的都弥补回来甚至付出会耗费生命的时间也好要不眠不休的话势必不能良好地保持习惯还是快些完成今日的就扑倒床上我很喜欢我的学生们他们听话的写作业默写不关结果看到他们认真的笔记默写为自己取得小进步轻呼出来的喜悦时我的心也跟着轻微地雀跃了我爱他们为自己努力我爱为自己努力的人。 收起全文d
                ",  , , 1,"
                        02月26日 23:54
                        ",iPhone客户端,https://s.weibo.com/weibo/%25E8%25BA%25BA%2520%25E5%258F%2591%25E8%2599%259A?q=%E8%BA%BA%20%E5%8F%91%E8%99%9A&scope=ori&suball=1&Refer=g,https://weibo.com/6375112833/Iw2Egr4Jo?refer_flag=1001030103_
__4444x__玺烊烊,"
                    我真的躺到发虚了…… ​                ",  , , ,"
                        02月26日 20:29
                        ",,https://s.weibo.com/weibo/%25E8%25BA%25BA%2520%25E5%258F%2591%25E8%2599%259A?q=%E8%BA%BA%20%E5%8F%91%E8%99%9A&scope=ori&suball=1&Refer=g,https://weibo.com/6604049828/Iw1j4jbCS?refer_flag=1001030103_
不愿意透露姓名的某网友_,"
                    碎碎念又来了：◎早上做了高强度训练，真的，运动也是一样的，在于精而不在多，再加上我是没吃早餐就训练的做了一半就很晕了眼前发黑，但我还是坚持做完了，差点直接躺了，这个人都是虚的。◎按自己适合的强度来就好了，贵在坚持，什么都做结果没一个坚持下去的也没用。◎下午再接着做。加油。 ​                ",  , , ,"
                        02月25日 11:32
                        ",OPPO Find X,https://s.weibo.com/weibo/%25E8%25BA%25BA%2520%25E5%258F%2591%25E8%2599%259A?q=%E8%BA%BA%20%E5%8F%91%E8%99%9A&scope=ori&suball=1&Refer=g,https://weibo.com/7101549660/IvOmtq7rU?refer_flag=1001030103_
璠璠今天吃火锅了吗,"
                    秃头少女今天出去买了新款斑马很是开心虽然也不是新款了小声bb出去一趟把自己累死不知道为啥这个冬天没有出去全躺在床上走两步发虚推个车子感觉自己废了但还是坚持穿着睡衣带着口罩帽子出去了看到了一群又一群小年轻聚伙从众很是羡慕然后就约了小姐妹明天一起出去回家的时候可惜没有买到草莓但是吃了炸鸡心情非常好哦对了我出去本来是去拿年前放在快递站里面的快递结果没开门我很佩服自己牛批今天还加了鲜芋仙的微信准备定他们家季节限定晚上想买口红发现不舍的了但是八百块买了一支笔我也是醉了但还是决定买两只意思意思毕竟我英语过了不想化妆那就护肤吧毕竟我那么貌美照片都是原相机没有滤镜不要问我为什么那么丑因为我懒得加滤镜最后还有不要问我为什么没有标点符号问了就是梨泰院很好看超级好看无敌好看就这样害看累了吧 收起全文d
                ",  , , ,"
                        02月22日 01:22
                        ",HUAWEI P30 Pro,https://s.weibo.com/weibo/%25E8%25BA%25BA%2520%25E5%258F%2591%25E8%2599%259A?q=%E8%BA%BA%20%E5%8F%91%E8%99%9A&scope=ori&suball=1&Refer=g,https://weibo.com/6586830729/Ivi5uBIVh?refer_flag=1001030103_
心弟无私天地宽,"
                    现代人自私心膨胀，天天为得不到而难过，爱自己让自己更加孤独；学佛人要学会爱众生，会得到很大快乐。母亲一辈子爱自己的孩子，最后孩子都爱母亲，母亲得到最大的快乐。心灵解脱，能够想得通，才是最大的快乐。知足会拥有幸福，宁静能产生快乐。我们今天的名誉都是空的，相信你们在座很多人也做过很多有名誉的事情，但是随着年纪大了，还拥有什么名？做过了就是没有了，名是空，利是虚，追求名利就是追求虚空。钱赚来了又用了，名有了又会没有。你今天没有这个名，不用担心以后会被去除；你今天有了这个名，当去除的时候就会感到万分痛苦。过去没有钱，活得很开心；当有过钱之后又没有钱了，就会活得很痛苦。这就是虚空，生不带来死不带去，一切皆空。《心经》上说：“色不异空，空不异色，色即是空，空即是色。”一切来得快，去得也快，想想自己十几年的年轻时候犹如梦境般，青年时代的兴奋、忧愁、难过、恨，到哪里去了？全部都过去了，这就是色不异空。（掌声）一个人欲望越大，压力越大，贪心越大，人活得越累。太看重什么就会成为什么的奴隶，对自己孩子的功课、学校太看重，就会成为孩子的奴隶，因为孩子会说“你给我买这个，否则我不好好做功课”；你看重钱，每天打几份工，做投资，成为钱的奴隶；喜欢这个女友，她要什么你给什么，就成为女朋友的奴隶。要用心来化解这些东西，心态犹如一个瓶子，要看装什么。你的心里装的是善良，就会甜滋滋的，就像装上蜂蜜一样，会得到甜蜜的回报；如果心中装的是毒药，会得到很恶的心态。同样的心为什么不装蜂蜜而要装烦恼毒药呢？心要好，就可以远离烦恼。（掌声）有一个故事，佛陀在山上遇到了歹徒阿格利玛。阿格利玛杀人不眨眼，他当然也不打算放过佛陀，他说：“都说你法力无边，你今天落在我的手中，看来也不过如此，我今天要砍了你的头，让大家知道我比你更强大。”“死之前，我有一个心愿，”佛陀指着身边的桃树说，“请砍下这根树枝。”“那太容易了，”剑起枝落，阿格利玛把砍下的树枝丢给佛陀，“还有什么要说的？接下来我要砍你了。”“我还有另一个愿望，”佛陀怜惜地拾起树枝，“现在请让它长回去。”阿格利玛大笑：“你这个疯子，谁都知道砍下来的树枝怎么能接回去呢？”佛陀回答，“可怜的人啊，你认为自己很强大，因为你能够轻易伤害一个人的生命。但破坏、伤害、摧残是最容易的事情，连小孩子都会，你算什么强大？真正强大的人，是懂得如何医治别人的伤痛和创造生命。”阿格利玛顿时参悟，之后慢慢领悟佛法，最后成为佛陀忠实的弟子。一个能做错事懂得忏悔的人，才是拥有菩萨的基础。我们谁没有做错过，我们在家里为什么不承认自己做错？当你承认做错的时候，心会得到解脱，否则会越来越难过。忏悔的人能够更多地了解自己，不懂忏悔的人是永远不懂得了解别人的人。佛法界将能够了解别人、懂得自己心的人，称为“觉”，觉者才能开悟，要有感觉自己是怎样。人跟人的争吵是因为我以为自己是对的、他以为他是对的，最后才会上法庭。菩萨因觉自心者，即为觉一切众生之心。一个好的母亲为什么能够让这么多的孩子孝顺她？因为妈妈懂得孩子的心。而有的妈妈生了五六个孩子，偏心，晚年才造成这个孝顺那个不孝顺，这个因是母亲自己种下的，不要怪孩子不孝顺，是因为父母亲自己没有平衡心。做人要懂得别人在想什么，为别人想的人会活得很快乐。先生不觉妻子心，妻子不懂先生心，一定会吵架。有时候我们人很可怜，自己不知道自己做错了什么，妻子也不愿意讲，等有一天吵架了，妻子才会讲真话，骂先生是小男人、小气、自私等等，男人才突然感到震惊，“原来我真的这么自私吗？”知道后才会改，这就是佛法界讲的“忏其前愆、悔其后过”。经常检讨自己，夫妻才能相伴到老，转凡成圣，所以心要想通。夫妻不容易，要珍惜女人，一个年轻的姑娘嫁给你，为你生孩子、上班、做家务……很苦啊，经常骂老婆打老婆的男人一定是小男人。人要看到别人的优点，男儿有泪不轻弹，在公司里受欺负，被老板骂，回家不能说又不能哭，发发脾气，原谅他吧，穿着旧的裤子、袜子，回到家就躺在床上，都没有精力再洗澡，所有一切都原谅他吧！能够相互理解、相互原谅的夫妻才能好到头。觉人之心就是觉己之心。——20150582洛杉矶法会开示节选 收起全文d
                ",  , , ,"
                        02月21日 21:12
                        ",vivo Z3性能实力派,https://s.weibo.com/weibo/%25E8%25BA%25BA%2520%25E5%258F%2591%25E8%2599%259A?q=%E8%BA%BA%20%E5%8F%91%E8%99%9A&scope=ori&suball=1&Refer=g,https://weibo.com/7384631584/IvgrQ1WZg?refer_flag=1001030103_
浆巫巫,"
                    菜鸟驿站在小区最北，而我住在小区最南远的仿佛隔了条银河本来还有点虚，想再躺一天养养姨妈但是看文看得我气死了躺不住了，想发脾气拿快递去了，路上还能摔摔包裹降降火气 ​                ",  , , ,"
                        02月20日 15:58
                        ",iPhone客户端,https://s.weibo.com/weibo/%25E8%25BA%25BA%2520%25E5%258F%2591%25E8%2599%259A?q=%E8%BA%BA%20%E5%8F%91%E8%99%9A&scope=ori&suball=1&Refer=g,https://weibo.com/5252319821/Iv4YdevoB?refer_flag=1001030103_
网瘾少女小陈_,"
                    真真实实体会了一次什么叫躺着赚钱没干活还拿工资其实心里也挺虚的  闲得发虚😅复工了一定勤勤恳恳任劳任怨 2南通 ​                ",  , 2, ,"
                        02月19日 17:02
                        ",iPhone 8 Plus,https://s.weibo.com/weibo/%25E8%25BA%25BA%2520%25E5%258F%2591%25E8%2599%259A?q=%E8%BA%BA%20%E5%8F%91%E8%99%9A&scope=ori&suball=1&Refer=g,https://weibo.com/2135506911/IuVXsCKtT?refer_flag=1001030103_
