用户名,博文,转发数,评论数,点赞数,发文时间,来自,页面网址,博文链接
Flower愛繁體,"
                    #口罩进价6毛卖1元该罚吗#，真是搞笑，按這個標準，那如果進價3塊，賣4塊，是不是就不可以不罰了？以後藥店都別進便宜藥了，多進點貴的進口的多好。到底是哪個腦子進水的官員下令罰的？這麼🐮 🍺 ，來我們這兒管管唄？我們這裡之前韓國防塵口罩政府賣14塊，現在一次性賣4.3一個，還限購。求你們了，來查一下吧，別禍害小藥店了，一個賺四毛的利潤，得賣10萬個口罩才能回本，他賣不了那些，我們這兒政府進了5萬多個，你隨便罰。 收起全文d
                ",  , , ,"
                        6分钟前
                        ",nova5Pro人像超级夜景,https://s.weibo.com/weibo/%25E8%258D%25AF%25E5%25A5%25BD%25E8%25B4%25B5?q=%E8%8D%AF%E5%A5%BD%E8%B4%B5&scope=ori&suball=1&Refer=g,https://weibo.com/1790136177/IwKEk5M5X?refer_flag=1001030103_
韩国天空下角落的幸福,"
                    你家的药都放在哪里？缺不缺个小药箱？来看看这个，小号的9.9元，更好的能贵一些。用它装药，整洁安全，很实用 ​                ",  ,1, ,"
                        59分钟前
                        ",iPhone 8,https://s.weibo.com/weibo/%25E8%258D%25AF%25E5%25A5%25BD%25E8%25B4%25B5?q=%E8%8D%AF%E5%A5%BD%E8%B4%B5&scope=ori&suball=1&Refer=g,https://weibo.com/1845574407/IwKiQ2NJP?refer_flag=1001030103_
中国饲料行业信息网,"【“野味”禁食、猪肉太贵，或许你还可以选择“它”！】　　一场新冠肺炎疫情，让全民都成了大厨，纷纷在家研究美食，那么享受“躺赚”的这一个月里，大家吃的最多的肉是什么呢?

　　猪肉太贵买不起，非洲猪瘟导致2019生猪出栏减少1.5亿头，猪肉减少1152万吨，排骨甚至涨到了50-60元/斤……钱包伤不起!

　　水产品滞销运不出，一场新冠肺炎，全国仿佛按下了暂停键，运输难，买卖难，一度困扰着畜牧养殖行业!

　　“野味”不让吃了，一则《关于全面禁止非法野生动物交易的决定》，很多人工养殖的野生动物也不能吃了，否则就是犯法......似乎只能选择鸡肉了，但是不少人还在为几年前的“速生鸡”事件担忧，殊不知，鸡肉是十分健康营养又减肥的上好肉类食品呢!

　　那么你知道安全的禽肉产品是如何生产出来的吗?

　　首先，我们普及一下，“速生鸡”40多天出栏是否正常?

　　根据 FAO的计算，世界商品肉鸡大部分都是在42-48日出栏的，其中最常见的是45日出栏。

　　通过另一组数据可以看出近70余年来，世界范围内的肉鸡生长性能是如何稳步提高的。在1935年，肉鸡成长到1.3kg的体重需要耗费90天，而到了1986年肉鸡仅需45天就可以长到1.8kg，而根据2005年修订的《中国商品肉鸡生产技术规程》的规定，肉鸡在42天的体重达到2.42kg也是正常的。

　　这主要是通过遗传育种的进步和饲料营养全面来实现的。第一，它是遗传育种的结晶。我国白羽肉鸡产业起步于20世纪80年代，经过多年的不断优化和完善，以及遗传育种技术的不断发展和完善，大大缩短了从育雏阶段到育种阶段所需的时间。第二，它是科学饲喂的成果。对比过去肉鸡自己去找食物吃，食材单一、营养不均衡，生长缓慢且有较大重金属、寄生虫污染风险，而现在科学地饲喂营养全面的“定制化”饲料，最大程度发挥其育种优势，保障小鸡快速、健康成长。

　　中国畜牧业协会副秘书长、禽业分会秘书长宫桂芬表示，鸡肉的食品安全控制是一个贯穿鸡肉养殖、饲料生产、屠宰加工、物流仓储直到消费者餐桌的全程控制体系。

　　我们再来看看白羽肉鸡的饲养过程吧!

　　白羽肉鸡从祖代鸡开始，就要净化垂直传播疾病，使他们的子孙身体更加健康、强壮，受精后的种蛋在设定好的孵化箱中经过21天孵化过程终于出壳了，从雏鸡开始，他们的生活环境、包括温度、湿度、通风、光照等参数都会经过严格的规定，他们的饲料更是专门定制的，首先所用的原料要经过品控员的质量把关，挑出质量最优的;其次按照配方师设定的配方经过专业的设备生产出来，在饲料出厂前品控员还要进行一次质量检验，最终合格后的饲料才会运输到各个肉鸡饲养场。

　　

　　从饲料来说，无论是颗粒大小、还是营养浓度都会根据肉鸡的生长阶段配比最适合的饲料，而且通过对每批采购的原料定制动态配方来保证一定时期饲料的质量稳定，减少鸡群应激。

　　饲喂肉鸡的饲料不仅要化验最基本的营养指标，还要不定期的送第三方检测或者自检国家强制性规定的卫生指标，比如霉菌毒素、重金属、细菌总数、兽药残留等项目。

　　

　　肉鸡在养殖过程中需要喂很多的药物甚至抗生素来维持生命吗?

　　新希望六和作为国内第一大父母代鸭苗，第二大商品代鸡苗、鸭苗供应商，其饲养过程中对药物的使用均有严格的规定，他们于2015年9月加入GFSI(全球食品安全倡议)中国工作组，而且是目前唯一入选GFSI董事会成员的中国民营食品生产企业，这不仅表明他们的食品安全工作得到了全球的认可，更意味着他们在养殖端、食品端等环节的门槛更高，更让消费者放心。

　　新希望六和禽产业研究院负责人许毅博士告诉中国饲料行业信息网记者，对于无抗或者是减抗的问题，新希望六和的重心更多的是放在养殖端，首先要让动物少发病，少发病就少用药，就没有药物残留的风险。第二，即便发病，要实现精准用药，停药期禁止用药，避免抗生素残留。第三，养殖结束以后，我们更多的是做高标准的检测，来确保进到我们这儿的每一块肉都是符合食品安全标准的。

　　在养殖端，他们做了很多工作，一般养殖过程中比较容易忽略“水”的问题，水质的处理，现在对于整个食品安全危害最大，或者说风险最大的，就是细菌病。细菌病的防治原来是以“治疗”为主，但是现在我们的逻辑是以“防”为主。

　　从四个途径控制细菌的来源，减少养殖端的疫病，减少抗生素的使用

　　关于如何解决细菌病?许博士介绍了新希望六和的观点是要控制住细菌的来源，而不是看治疗的结果。来源主要有四个途径：要么是吃的，要么是喝的，要么是呼吸的，要么是接触的。

　　一是吃的方面，饲料上面新希望六和的保障体系是非常完善的，基本上对动物而言是没有问题的;

　　二是喝的问题，我们有臭氧水消毒来解决;通过水线臭氧高压脉冲技术，做养殖场饮水系统水质的清理，可以保障细菌发生的概率急剧下降;

　　三是整个行业所忽视的呼吸的问题，家禽它是鸟类，呼吸量非常大，会引入体内非常多的细菌，所以空气的净化和消毒十分重要，许毅博士说这也是新希望六和下一步的重点，是如何有效减抗的核心;

　　四是我们在给养殖户做的一些消毒的措施，也是解决接触的问题。

　　基于以上四个方面的技术环节，我们新希望六和可以非常有效的控制住在养殖现场、养殖环节的疫病，从而控制住抗生素的使用，保证最终的食品安全。

　　

　　防的再好，鸡还是会得病，对于疾病的治疗方面，新希望六和主要承载着全年6亿只商品肉鸭及2亿只商品肉鸡的健康，主要通过疫病监测、科学免疫、精准用药及产品高效评估等方面来达到家禽少发病、不发病、少用药和不用药的目的。

　　如何做到精准用药呢?不断探索国家规定的、可以使用的兽药，在不同地域养殖实践中的有效应用：将分离的细菌进行药物药敏性试验，对敏感性较好药物再根据其作用特点及休药期，按照国家规定合理使用。终极目标就是减少用药，降低兽药残留风险，为健康养殖筑起了一道坚固的防线!

　　三级检测为最后一道关口食品安全保驾护航

　　养殖端保证了鸡肉的安全还不够，在屠宰端和食品端的安全也不能放松。在食品加工车间，为了避免细菌的滋生，温度通常控制在10度以下，而且员工全副武装，消毒流程都有严格的规定;而在屠宰车间，自动化、智能化的设备也尽可能减少了人员的操作，保障了食品安全。

　　在食品端新希望六和还建立了归属总部直管的三级检测体系，应用物联网技术，确保检测结果自动判定、实时上传，避免人为因素干扰，实行原料入厂检测、生产过程风险控制、产品出厂控制，确保最终的食品安全。

　　怎么样?从源头到终端了解了“一块肉”的安全是如何控制的，是不是更加放心了!新希望六和的鸡鸭肉产品还上过国宴的餐桌呢， 2018年在青岛举办的上合峰会上，新希望六和成为此次峰会的禽肉指定供应商，独家供应了全部的鸭肉产品和70%的鸡肉产品。

　　

　　食品安全关乎千家万户，选择质量安全有保证的食品，是我们每一个人为之努力的目标! 收起全文d",  , ,1,"
                        今天12:56
                        ",360安全浏览器,https://s.weibo.com/weibo/%25E8%258D%25AF%25E5%25A5%25BD%25E8%25B4%25B5?q=%E8%8D%AF%E5%A5%BD%E8%B4%B5&scope=ori&suball=1&Refer=g,https://weibo.com/2154344603/IwJtw7CPD?refer_flag=1001030103_
中国邮政,"
                    #国家需要邮政就在# 龙升贵是陕西省安康市镇坪县瓦子坪邮政所的一名投递员，也是一名共产党员，他负责华坪镇和钟宝镇中四村的投递工作，日均投递党报党刊100多份、邮件200多件，老家住在尖山坪村的村民潘森平时在四川乐平市工作，由于过年回老家后一时回不去，就想给妻子在四川的亲戚寄一些特产。经过熟人联系他找到龙升贵，当时天色已晚，龙升贵二话没说就开车过去收寄了100斤土特产。“辛苦你大老远跑一趟，我还以为疫情期间这些特产寄不出去了，没想到邮政还能寄，谢谢你……”潘森握着龙升贵的手连着说了好几声谢谢。这段时间龙升贵总会接到村民各种各样的“求助”电话，捎一些日用品、帮忙买点药、邮寄包裹等等，他总是笑呵呵地说：“现在是特殊时期，只要我能做到的，我一定竭尽全力帮大家办！”龙升贵每次投递经过尖山坪村村民李品奎的家，总会想起他生前的种种情景，不免替他感到惋惜。原来，早年李品奎因车祸导致下身瘫痪，和上小学的女儿相依为命。龙升贵每次经过，只要不忙都会进去看望他，在生活上和精神上给他鼓励。龙升贵的小儿子有些不用的衣物、玩具，他都洗干净带给李品奎的女儿，日常的一些生活用品和李品奎长期服用的药都是龙升贵帮忙买的，而且知道他生活困难，龙升贵从不收他的钱。直到去年李品奎去世前，还曾发信息感谢龙升贵多年来对他的照顾。 收起全文d
                ",  ,21,11,"
                        今天12:31
                        ",,https://s.weibo.com/weibo/%25E8%258D%25AF%25E5%25A5%25BD%25E8%25B4%25B5?q=%E8%8D%AF%E5%A5%BD%E8%B4%B5&scope=ori&suball=1&Refer=g,https://weibo.com/5501611052/IwJjtwbCw?refer_flag=1001030103_
透明不玻璃,"
                    前几天有在想宿舍里开了还没吃不敢吃的药会不会哪一天过期了，好贵啊，万一哪天我真的要吃呢。。 ​                ",  , , ,"
                        今天12:21
                        ",iPhone客户端,https://s.weibo.com/weibo/%25E8%258D%25AF%25E5%25A5%25BD%25E8%25B4%25B5?q=%E8%8D%AF%E5%A5%BD%E8%B4%B5&scope=ori&suball=1&Refer=g,https://weibo.com/7114483832/IwJfpvmJd?refer_flag=1001030103_
裙衩源,"
                    麻药过后是漫长的疼痛╯﹏╰冷漠的护士让我不是很开心，好在医生人很好，但药是真贵。 ​                ",  , , ,"
                        今天11:48
                        ",荣耀V10 我AI的快,https://s.weibo.com/weibo/%25E8%258D%25AF%25E5%25A5%25BD%25E8%25B4%25B5?q=%E8%8D%AF%E5%A5%BD%E8%B4%B5&scope=ori&suball=1&Refer=g,https://weibo.com/5680651450/IwJ1TbFwj?refer_flag=1001030103_
苏聆予,"
                    我反应问题太居家实际了。其实还想补刀一句，晕车贴不但成分复杂，贵，而且不好用。于是学习到了不用吃晕车药的方法——用指甲硬掐合谷穴便好。图三，是暑假坐车回家晕车晕到虚弱的样子。图四，是寒假晕车到虚弱的样子。 ​​​                ",  ,4,1,"
                        今天09:53
                        ",,https://s.weibo.com/weibo/%25E8%258D%25AF%25E5%25A5%25BD%25E8%25B4%25B5?q=%E8%8D%AF%E5%A5%BD%E8%B4%B5&scope=ori&suball=1&Refer=g,https://weibo.com/3309037833/IwIhrznJ3?refer_flag=1001030103_
格竹熊,"
                    不懂的事就不要乱批评。医生给你开什么药你就吃什么药，管他中药西药，有效就好，最不济你不想吃也没人逼你吃。中医药整体也不贵，抢不了你西药的饭碗。但是为什么中医药会有这么大争论？这个矛盾本身就是“科学教”“中医黑”挑起的。他们总是要给自己贴个“科学”标签，强行科普。你要是不咸与科学，还吃中医药，你就是愚昧。大家看出来了吧，这是邪教，他们要搞宗教裁判所。我小时候体弱多病，久病成医，再加上对医学很感兴趣，对中西医多少都了解点。我就支持中医药，对那些中医黑嗤之以鼻。 收起全文d
                ",7,12,32,"
                        今天09:23
                        ",HUAWEI Mate 20 Pro,https://s.weibo.com/weibo/%25E8%258D%25AF%25E5%25A5%25BD%25E8%25B4%25B5?q=%E8%8D%AF%E5%A5%BD%E8%B4%B5&scope=ori&suball=1&Refer=g,https://weibo.com/1572619174/IwI5a8Lrt?refer_flag=1001030103_
吴子曦xixi,"
                    第一次进舱，听不懂，连蒙带猜。第二次进舱，还是听不懂，全靠翻译。第三次进舱，靠恶补方言，听懂六七成。现在，时不时还能说些“莫怕，莫担心，要七药，你蛮好”但是想想还是很有趣，可能病人也听不懂我们贵普话，双方都是在一头雾水的沟通中。 ​                ",  ,3,3,"
                        今天07:13
                        ",iPhone客户端,https://s.weibo.com/weibo/%25E8%258D%25AF%25E5%25A5%25BD%25E8%25B4%25B5?q=%E8%8D%AF%E5%A5%BD%E8%B4%B5&scope=ori&suball=1&Refer=g,https://weibo.com/2808189213/IwHevxroQ?refer_flag=1001030103_
云舞紫涵,"
                    #这次疫情让你看到了什么#看到了很多 下午才又看到三个话题 仔细思考后我害怕了 我害怕亚文化没有平台产出 害怕网络暴力 也害怕有人借网络暴力来给坏人做保护伞 害怕成年人谈/性色变 害怕人民无法发声 害怕未来的孩子们没有安全保障 害怕医院药太贵看不起 害怕好人没好报 害怕属于每个人民的东西被坏人占有获利  怕站在属于自己的土地上却没有归属感 怕坏人获得胜利 怕一些东西私有化 怕我的土地上有有异心的人 怕我中无我 这样想一想我都浑身冰凉但愿一切都是我杞人忧天 收起全文d
                ",  , ,3,"
                        今天02:46
                        ",HUAWEI P20 Pro,https://s.weibo.com/weibo/%25E8%258D%25AF%25E5%25A5%25BD%25E8%25B4%25B5?q=%E8%8D%AF%E5%A5%BD%E8%B4%B5&scope=ori&suball=1&Refer=g,https://weibo.com/2719550411/IwFtZcWuC?refer_flag=1001030103_
